管理No,テーマ,タイトル,フック,解決策,エンド,ネタメモ,カテゴリ,元No
53,面接のやり方,面接のやり方,面接は能力採用ではなく人格採用をするべきです,"採用はゴールではなく、マネジメントの入口です
面接を期待値すり合わせの場にできるのが優秀な面接官です
特に面接で見るのはこの3点です
Will：やりたいこと
Can：できること
Must：求められること
特に重要なのはWillとMustの重なり。
「本人がやりたい方向」と「会社が求める役割」が重なっていない人はいずれ辞めます","「このお店での仕事で、どんな時にやりがいを感じると思いますか？」
面接時にこの一言を必ず聞くようにすると判断しやすいですよ",面接のやり方,今伸びてるもの,5
54,脳のリソース,脳のリソース,今の時代の飲食店経営者に足りていないのは考える余白です,"経営者の価値は「判断の質」です
情報飽和社会では
・事務
・連絡
・確認
・微調整
こういったタスクが脳内リソースを静かに食い尽くします
その結果、決断が先延ばしになる、優先順位がブレる、本来やるべき判断を見落とすといった弊害が生まれます","これを防ぐ方法は外注とDXです
考えなくていいことを脳から追い出すだけ
任せるのは仕事じゃなくて思考負荷です
脳のリソースが空いた時経営は一段上に進みます",脳のリソース,今伸びてるもの,6
55,節税は貧乏の入り口,節税は貧乏の入り口,節税は、やり方を間違えると貧乏の入り口です,"税金は減ったけど会社も弱くなっているというのがよくある失敗です
ダメな節税の典型はこれです
・必要ない支出を増やす
・今いらないものを買う
・利益を消すためだけの経費
本当にやるべきは逆で
・利益を出す
・キャッシュを厚くする
・投資できる状態を作る
その上で残った利益をどう扱うかを考えましょう","節税が先に来る経営は必ず判断が歪みます
税金を嫌って利益を嫌う経営は長くは続きません
稼ぐ力を強くする方を優先しましょう",節税は貧乏の入り口,今伸びてるもの,7
56,昔はきつかった武勇伝もうやめません？令和ですよ？,昔はきつかった武勇伝もうやめません？令和ですよ？,昔はきつかった武勇伝もうやめません？令和ですよ？,"「俺たちが若い頃はもっと大変やった」の一言で、人は静かに離れます
根性論と長時間労働は、育成でも文化でもない時代遅れのマネジメントです
厳しさは必要ですが、暴力や無駄な拘束は要らないです","武勇伝は、組織を強くしません
時代に合ったやり方を選べる組織だけが人も成果も残します",昔はきつかった武勇伝もうやめません？令和ですよ？,今伸びてるもの,8
57,休憩どこで取ってるかでお店の繁盛具合が分かります,休憩どこで取ってるかでお店の繁盛具合が分かります,どこで休憩を取っているかで、その店の繁盛度は分かります,"客席で休憩を取ると自然にお客様が見てる風景が見えてきます
照明で顔めっちゃ暗く見えるやん、BGMめちゃくちゃでかくない？、ここの机ガタついてるな
これ現場で営業中には見えません","休憩を客席で取るのは一番安いマーケティング調査です
客席で過ごした時間の分だけお店は良くなります
裏や毎回同じ席でしか休憩を取らないお店ほど、お客様の視界からズレていきます",休憩どこで取ってるかでお店の繁盛具合が分かります,今伸びてるもの,9
58,バックオフィスはDX化、キッチン内の管理は紙,バックオフィスはDX化、キッチン内の管理は紙,コンサルに言われてタスク管理DX化したら現場崩壊しますよ,"事務周りはDX化、キッチン内の管理は紙が鉄則です
全部デジタル管理でやっているお店ほど、タスクが漏れて、ミスが増えます
現場に合わない管理は、管理になりません","タスク管理は「考える場所」と「動く場所」で分けること
事務周りは履歴・検索・共有が命です
現場は手が汚れるわ、一瞬で見たいし、迷ったら即確認できるので紙のチェックリストが一番適してます
「タブレット開く時間」「ログインする手間」これ全部ミスとストレスの原因です
考える仕事はDXへ。動く仕事は紙へ。これだけは守ってください",バックオフィスはDX化、キッチン内の管理は紙,今伸びてるもの,10
59,小口会計が多い店舗,小口会計が多い店舗,小口会計は例外対応にすべきで、日常運用にした瞬間から害になります,"横領リスクが一気に上がる
会計処理の工数が爆増する
人件費が無駄に膨らむ
原価管理がズレる
仕入れ基準が属人化する
在庫が増える・腐る・消える
経営者が状況を把握できない
百害あって一理なしです","小口は緊急時のみの対応にし、上限額をしっかりと決めて運用しましょう
買い出しは0にして業者仕入れを中心に切り替えましょう",小口会計が多い店舗,新テーマ,11
60,生産者に会いに行け,生産者に会いに行け,生産者に会いに行かない飲食人はどこかで代替されますよ,"生産者に会いに行く理由は物語を背負うためです
畑を見る。海を見る。人の顔を見る。
そこで分かるのは、
・なぜこの食材がこの価格なのか
・どんな苦労と選択の上にあるのか
・どこを一番大事にして作っているのか
これを知った瞬間、
スタッフが食材を無駄にしなくなるし扱いが丁寧になる
サービスマンは伝え方が変わります
結果料理に説得力が宿るんです","飲食人の仕事は、「作る」だけじゃありません。
「伝える」仕事です。",生産者に会いに行け,トリガー,12
61,契約書をちゃんと読まないとダメ,契約書をちゃんと読まないとダメ,契約書を読まないのは経営判断を放棄しているのと同じです,"まずは解約条件・責任の所在・期間と更新の3点だけ線を引いてください
全部読めなくていいので不利になるポイントだけは逃さないようにしましょう",契約は作業にせずに経営リテラシーと思って取り組んでください,契約書をちゃんと読まないとダメ,過去に伸びたもの,1
62,バックオフィスを作るなら絶対に経理から,バックオフィスを作るなら絶対に経理から,バックオフィスを作るなら絶対に経理からです,"人事でも、総務でも、広報でもないです
経理を後回しにする会社ほど判断が遅く、成長が鈍ります
理由は簡単で経営は数字でしか前に進まないからです","経理は意思決定を可能にする部署です
経理が整うと
・月次で利益が見える
・原価と人件費のズレに気づける
・投資していいか、止めるべきか判断できる
組織が大きくなるほど社長の勘は通用しなくなるので数字で決められる仕組作りをしていきましょう",バックオフィスを作るなら絶対に経理から,過去に伸びたもの,2
63,補助金に頼ってたら銀行からお金借りにくくなりますよ,補助金に頼ってたら銀行からお金借りにくくなりますよ,補助金頼りの経営は使い方を間違えると一気に首を絞めます,"補助金をCFの「主役」にした瞬間、経営を歪めます
補助金頼りになると、必ず起きるのがこの3つ
・投資判断が甘くなる。
「必要だから」じゃなく
「補助金が出るから」で決め始めてしまう
・利益幅が削られる
補助金は初期費用だけ
運用・保守・人件費はずっと残る
・銀行から警戒される
「この会社、補助金がないと回らないのでは？」
そう見られた瞬間、融資は一気に慎重になります","ROIが曖昧なまま固定費だけ増やしてると月次で見るとじわじわ利益が薄くなってますよ
補助金がなくても黒字、もしくは投資の回収が数字で説明できる場合のみ使っていいブースト機能に過ぎません",補助金に頼ってたら銀行からお金借りにくくなりますよ,過去に伸びたもの,3
64,一回に食べれる総量300g〜500g,一回に食べれる総量300g〜500g,人が一回の食事で美味しく・無理なく食べられる量は300g〜500g前後です,"次を頼ませる余白を残さないと、満腹にさせてはしまっては客単価を自分で下げる行為です
量を減らすという考えではなく客単価と一皿あたりのg数をコントロールしてください","オーダー点数が増えて結果的に客単価は上がります
・「もう一品いける」
・「次は何にしよう」
が自然に生まれるとオーダー点数が増えて、結果的に客単価は上がります
次の一皿への導線を作るためにまずは人間の満腹になる量を把握しておきましょう",一回に食べれる総量300g〜500g,過去に伸びたもの,4
65,ABC分析による利益改善方法,ABC分析による利益改善方法,ABC分析を使いこなせてない店舗があまりにも多すぎる,"ABC分析を見てメニュー表に反映できていない時点で利益改善は起きません
原価パフォーマンスが良いものを意図的にA商品に持ち上げられて飲食店経営です","メニューは一覧表ではなく営業ツールです
数字で分けて見せ方で誘導する
それがABC分析による利益改善です",ABC分析による利益改善方法,今伸びてるもの,5
66,どうやったら相談できますか？→無料面談,どうやったら相談できますか？→無料面談,「どうやったら相談できますか？」って聞かれるんですが,"相談は、DM一本で大丈夫です
一時間みっちり相談に乗ります
特別な準備も上手く話す必要もありません
状況をそのまま話してもらえればOKです","悩みを言語化できた時点で経営は一歩前に進みます
もし今
・誰かに一度話して整理したい
・判断が合っているか確認したい
・一人で考えるのがしんどい
そう思っているならDMで「無料面談」と送ってください。",どうやったら相談できますか？→無料面談,今伸びてるもの,6
67,正直に言うと、 今の経営の仕方なら“この先も楽にはならない”可能性は高い,正直に言うと、 今の経営の仕方なら“この先も楽にはならない”可能性は高い,正直に言うと今の経営の仕方ならこの先も楽にはならない可能性は高いです,"・自分が動かないと回らない
・判断が全部自分に集まる
・忙しいのに、未来が見えん
経営のやり方が一個前のフェーズのままなだけです
そのままやと、今の延長線上に「楽になる未来」はないですよ","この漠然とした不安はあなたがサボっているからじゃありません
むしろ逆でちゃんと経営しているから
違和感に気づいている証拠です
少しの意識でいいので
・数字を感覚から切り離す
・判断を仕組みに落とす
・自分しかできない仕事を減らす
というところから始めてみてはいかがですか？","正直に言うと、
今の経営の仕方なら“この先も楽にはならない”可能性は高い",今伸びてるもの,7
68,賄い,賄い,賄い無料にしてたら税務調査で追加徴税を食らう可能性普通にありますよ,"賄いが無料やと現物給与、要は給料の一部と見なされやすいです
・従業員が食事価額の50％以上を負担していること
・会社負担分が、1か月あたり3,500円（税抜）以下であること
このどちらかを外すと、差額は現物給与となり課税対象になります。",リスクを負いたくないのであれば明日担当の税理士さんに確認してみてくださいね,賄い,今伸びてるもの,8
69,労基法違反,労基法違反,飲食店、休憩の与え方で労基法違反しているケースがかなり多いです,"お客様や業者さんが来たらすぐ対応する休憩
休憩中も電話・指示待ち
分割しすぎの細切れ休憩
これら全てアウトです
労働基準法 労基法が定める「休憩」の正確なポイントは3つです
① 休憩は「途中」に与える
→ シフト前後にまとめて付けるのは原則NG
② 一斉に与える
→ ただ飲食は「一斉付与の例外業種」なのでOK
③ 自由利用であること（最重要）
→ 業務から完全に解放されていること
飲食店が違反になるのは、ほぼ③です。","違反が発覚したら何が起きるかというと
・労基署是正勧告
・過去分の未払い賃金請求
・悪質やと書類送検
特に最近は、退職者の通報が一番多い。
「忙しかっただけ」は一切考慮されません
休憩は法律で守られた労働条件です",労基法違反,今伸びてるもの,9
70,Googleの口コミ→ガイドライン違反,Googleの口コミ→ガイドライン違反,知らずにGoogle口コミを集めてるとアカウント停止になりますよ,"口コミ投稿を条件に割引、商品サービス、ポイント付与、★5でお願いしますなどは全てGoogleガイドライン違反です
また「口コミ書いてくれたら◯◯円引き」は景品表示法違反の可能性が高いです
これ、「少額だからOK」とか「みんなやってるからOK」は一切通用しません","口コミはマーケ施策の前に信用情報です
短期で増やそうとすると必ず間違った運用になりかねないです
お店の中身を磨いて書きたくなる状態を作って、積み上げていきましょう",Googleの口コミ→ガイドライン違反,今伸びてるもの,10
71,この数字を見ずに決める出店は、ほぼ事故です,この数字を見ずに決める出店は、ほぼ事故です,この数字を見ずに決める出店は、ほぼ事故です,"固定費をちゃんと見ずに決める出店は経営じゃなくてギャンブルです
「売上はいけそう」「立地は悪くない」この判断が事故の始まりです
固定費は努力で下げられない数字です
固定費が高いと損益分岐点売上も高くなります",売上が2〜3割落ちても、この固定費、耐えられるか？を何度も計算してから始めてください,この数字を見ずに決める出店は、ほぼ事故です,新テーマ,11
72,食品消費税ゼロが飲食店にもたらす影響→PEST分析,食品消費税ゼロが飲食店にもたらす影響→PEST分析,食品消費税ゼロがどうこう嘆いてた飲食店の経営は1ミリも良くなりません,"食品消費税がゼロになる、ならない、一部だけ変わる
正直どれでも良かったんです
政治的要因で嘆くのではなく定数として扱うものです
賢い経営者は自分では変えられないという事実を理解し変わったら、どう動くかしか考えてないです","政治を嘆く時間は経営にとって一番生産性が低い時間です
政治は環境。経営は行動。
環境に文句を言うお店と、環境に合わせて動くお店
結果が出るのは、いつも後者です",食品消費税ゼロが飲食店にもたらす影響→PEST分析,トリガー,12
