集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
,,,,,,,,,,RB0120260112224604000,2026/01/13,01:22:35,38700,43000,3518,0,38700,3518,0,38700,0,0,0,0,0,0,0,0,0,0,0,0,0,-4300,0,-4300,4,33,02:36:31,"1, 2, 3",大泉,9603FF5C286F44B88B3473F00F8764CF,未設定,No charge,0,4
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,スナック,生ハム盛り,1600,1
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,カクテル,クラシックカクテル,1500,4
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1300,3
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ウイスキー,タリスカー10年,1400,6
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ビール,ガージェリー,1300,2
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,サラダ,シーザーサラダ フル,1600,1
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,アラカルト,フレンチフライ,1000,1
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,アラカルト,唐揚げ,1300,1
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ウイスキー,ボウモア12年,1600,2
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ソフトドリンク,コーラ,800,2
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ウイスキー,ウルフクレイグ　14年,2800,1
,,,,,,,,,,RB0120260112224604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603FF5C286F44B88B3473F00F8764CF,ジン,バレルエイジドジン,1800,5
,,,,,,,,,,RB0120260113195353000,2026/01/13,21:16:21,14810,15200,1346,0,14810,1346,0,14810,0,0,0,0,0,0,0,0,0,0,0,0,0,-390,0,-390,2,3,01:22:28,C,大泉,01298EA29BEB42A6B81DD328BCB0E92E,ワイン（グラス）,ローター・トラウベンモスト,1200,1
,,,,,,,,,,RB0120260113195353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01298EA29BEB42A6B81DD328BCB0E92E,未設定,7000円飲み放題付（2時間制）,7000,2
,,,,,,,,,,RB0120260113200642000,2026/01/13,21:27:58,10230,9300,930,0,10230,930,0,10230,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,930,2,4,01:21:16,D,大泉,2B5E26E901F04ED899CA9A0C8464E0E8,その他,tablecharge,500,2
,,,,,,,,,,RB0120260113200642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2B5E26E901F04ED899CA9A0C8464E0E8,ご飯もの,マルゲリータ,1800,1
,,,,,,,,,,RB0120260113200642000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2B5E26E901F04ED899CA9A0C8464E0E8,ワイン,テバルド・ロッソ,6500,1
,,,,,,,,,,RB0120260113220258000,2026/01/13,23:22:44,4950,4500,450,0,4950,450,0,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,450,2,4,01:19:46,E,大泉,65E410023D4648A3A81A41D2B8AB73C0,その他,tablecharge,500,2
,,,,,,,,,,RB0120260113220258000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65E410023D4648A3A81A41D2B8AB73C0,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260113220258000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65E410023D4648A3A81A41D2B8AB73C0,ワイン（グラス）,ローター・トラウベンモスト,1200,1
,,,,,,,,,,RB0120260113215540000,2026/01/13,23:29:23,13860,12600,1260,0,13860,1260,0,13860,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,1260,4,13,01:33:43,B,大泉,562C7EC1E4944CA0AD370F3F1F4AC4FF,スナック,MIXローストナッツ,800,1
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,スナック,ドライフルーツ,1000,1
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,その他,tablecharge,500,4
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,カクテル,クラシックカクテル,1300,1
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,ワイン（グラス）,デバルド・ビアンコ,1200,3
,,,,,,,,,,RB0120260113215540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562C7EC1E4944CA0AD370F3F1F4AC4FF,ノンアルコールカクテル,シャーリーテンプル,1300,2
,,,,,,,,,,RB0120260113175605000,2026/01/14,00:18:00,72820,66200,6620,0,72820,6620,0,72820,0,0,0,0,0,0,0,0,0,0,0,0,0,6620,-8300,-1680,6,33,06:21:55,"1, 2, 3",大泉,CF04292FC55C4AC4ADBF33F1080EF760,未設定,No charge,0,3
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,その他,tablecharge,500,3
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,コース&セット,その他CLPコース,3500,6
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,アラカルト,前菜の盛り合わせ,2500,2
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,カクテル,クラシックカクテル,1200,3
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,黒板メニュー,黒板メニュー　サラダ,2000,2
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,黒板メニュー,黒板メニュー　肉料理,3500,2
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,黒板メニュー,黒板メニュー　魚料理,2000,2
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,黒板メニュー,黒板メニュー　パスタ,2000,3
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,黒板メニュー,黒板メニュー　その他,1800,2
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,ウイスキー（ハイボール・ボトル・オリジナル）,ウイスキーボトル,12000,1
,,,,,,,,,,RB0120260113175605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF04292FC55C4AC4ADBF33F1080EF760,テキーラ,ドンフリオ　レポサド,1700,4
,,,,,,,,,,RB0120260114204659000,2026/01/14,21:47:26,111000,111000,10090,5500,116500,10590,0,0,0,0,0,0,0,0,0,0,0,0,111000,0,0,0,0,0,20,21,01:00:27,"1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, E",大泉,3067FC9B368C404786172FB446895E57,イベント,イベントフード,1000,1
,,,,,,,,,,RB0120260114204659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067FC9B368C404786172FB446895E57,コース&セット,その他CLPコース,5500,20
,,,,,,,,,,RB0120260114214853000,2026/01/14,21:50:46,5060,4600,460,0,5060,460,0,5060,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,460,2,4,00:01:53,E,大泉,7FC3108D60CC49D28496AB5360C03D54,その他,tablecharge,500,2
,,,,,,,,,,RB0120260114214853000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7FC3108D60CC49D28496AB5360C03D54,オリジナルカクテル,Arrow Head,2000,1
,,,,,,,,,,RB0120260114214853000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7FC3108D60CC49D28496AB5360C03D54,オリジナルカクテル,Cafe Oaxaca,1600,1
,,,,,,,,,,RB0120260114215948000,2026/01/14,22:01:12,4320,4800,392,0,4320,392,0,4320,0,0,0,0,0,0,0,0,0,0,0,0,0,-480,0,-480,4,8,00:01:24,1,大泉,41EFCA43AC324F6F930B5A0B556B3963,未設定,No charge,0,4
,,,,,,,,,,RB0120260114215948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41EFCA43AC324F6F930B5A0B556B3963,ワイン（グラス）,ローター・トラウベンモスト,1200,4
,,,,,,,,,,RB0120260114221528000,2026/01/14,22:43:27,11660,10600,1060,0,11660,1060,0,11660,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,1060,2,8,00:27:58,A,大泉,EA139F56585540779902151FE055926D,スナック,MIXローストナッツ,800,1
,,,,,,,,,,RB0120260114221528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA139F56585540779902151FE055926D,その他,tablecharge,500,2
,,,,,,,,,,RB0120260114221528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA139F56585540779902151FE055926D,スナック,生ハム盛り,1600,1
,,,,,,,,,,RB0120260114221528000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA139F56585540779902151FE055926D,ジャパニーズカクテル,本わさびジンソニック,1800,4
,,,,,,,,,,RB0120260114215139000,2026/01/14,23:24:29,24200,22000,2200,0,24200,2200,0,24200,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,2200,2,18,01:32:50,5,大泉,90DEF81C04FE4BE38C1A6D43EFB14F94,スナック,MIXローストナッツ,800,3
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,その他,tablecharge,500,2
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,その他,丸氷,100,1
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,ジャパニーズウイスキー,山崎12年,3500,1
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,ビール,ガージェリー,1300,7
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,アラカルト,鶏もものソテー,1800,1
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,ご飯もの,ラザニア,1600,1
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,スナック,牡蠣のレモンマリネ,1000,1
,,,,,,,,,,RB0120260114215139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90DEF81C04FE4BE38C1A6D43EFB14F94,アラカルト,ガーリックシュリンプ,1500,1
,,,,,,,,,,RB0120260114231757000,2026/01/15,00:29:15,4860,5400,441,0,4860,441,0,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,-540,0,-540,1,5,01:11:18,1,大泉,69B00AAB6609401DAB442E482B8BBF75,未設定,No charge,0,1
,,,,,,,,,,RB0120260114231757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69B00AAB6609401DAB442E482B8BBF75,カクテル,クラシックカクテル,1400,1
,,,,,,,,,,RB0120260114231757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69B00AAB6609401DAB442E482B8BBF75,ワイン（グラス）,デバルド・ロッソ,1200,1
,,,,,,,,,,RB0120260114231757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69B00AAB6609401DAB442E482B8BBF75,ご飯もの,禁断パスタ,1800,1
,,,,,,,,,,RB0120260114231757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69B00AAB6609401DAB442E482B8BBF75,ソフトドリンク,紅茶,1000,1
,,,,,,,,,,RB0120260114215346000,2026/01/15,00:49:13,13200,12000,1200,0,13200,1200,0,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,1200,3,12,02:55:27,D,大泉,36E90901C8884A8B96AB28F7FDA9BC9F,スナック,MIXローストナッツ,800,1
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,スナック,チーズ盛り合わせ,2200,1
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,その他,tablecharge,500,3
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,ご飯もの,マルゲリータ,1800,1
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,ソフトドリンク,ジンジャーエール,800,3
,,,,,,,,,,RB0120260114215346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36E90901C8884A8B96AB28F7FDA9BC9F,ソフトドリンク,コーヒー,1000,2
,,,,,,,,,,RB0120260115195340000,2026/01/15,21:13:17,11550,10500,1050,0,11550,1050,0,11550,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,1050,3,9,01:19:37,D,大泉,16C2A3BEDF7741F1AE03D35817E87825,その他,tablecharge,500,3
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ジン,タンカレー,1200,1
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ジャパニーズカクテル,本わさびジンソニック,1800,1
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ジャパニーズカクテル,焙じ茶ジンソーダ,1400,1
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ウイスキー,ハーパー,1000,1
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ワイン（グラス）,"サングリア赤　1,800円",1800,1
,,,,,,,,,,RB0120260115195340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16C2A3BEDF7741F1AE03D35817E87825,ワイン（グラス）,"サングリア白　1,800円",1800,1
,,,,,,,,,,RB0120260115195255000,2026/01/15,21:32:52,10340,9400,940,0,10340,940,0,10340,0,0,0,0,0,0,0,0,0,0,0,0,0,940,0,940,2,10,01:39:57,C,大泉,9B171C451A4246A7A7306D6E9BB9FFAF,その他,tablecharge,500,2
,,,,,,,,,,RB0120260115195255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9B171C451A4246A7A7306D6E9BB9FFAF,ウォッカ,ウォッカ,0,1
,,,,,,,,,,RB0120260115195255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9B171C451A4246A7A7306D6E9BB9FFAF,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1300,1
,,,,,,,,,,RB0120260115195255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9B171C451A4246A7A7306D6E9BB9FFAF,ビール,ハートランド,1000,3
,,,,,,,,,,RB0120260115195255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9B171C451A4246A7A7306D6E9BB9FFAF,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260115195255000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9B171C451A4246A7A7306D6E9BB9FFAF,ジャパニーズカクテル,焙じ茶ジンソーダ,1400,2
,,,,,,,,,,RB0120260115202425000,2026/01/15,22:01:52,12540,11400,1140,0,12540,1140,15540,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,1140,0,1140,2,10,01:37:27,B,大泉,D6470A0EDDBA4E779692FB839ADDE72A,その他,tablecharge,500,2
,,,,,,,,,,RB0120260115202425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6470A0EDDBA4E779692FB839ADDE72A,サラダ,シーザーサラダ ハーフ,1000,1
,,,,,,,,,,RB0120260115202425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6470A0EDDBA4E779692FB839ADDE72A,黒板メニュー,黒板メニュー　肉料理,1800,1
,,,,,,,,,,RB0120260115202425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6470A0EDDBA4E779692FB839ADDE72A,ビール,ハートランド,1000,4
,,,,,,,,,,RB0120260115202425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6470A0EDDBA4E779692FB839ADDE72A,オリジナルカクテル,Tommy's Verde Margarita,1800,2
,,,,,,,,,,RB0120260115180401000,2026/01/15,22:29:41,24200,22000,2200,0,24200,2200,24200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,2200,2,16,04:25:40,A,大泉,51121F0D514A4CBC98384CB33C0988FE,その他,tablecharge,500,2
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,アラカルト,トマトのカプレーゼ,1500,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,アラカルト,前菜の盛り合わせ,1800,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,ビール,ガージェリー,1300,3
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,デザート,本日のデザート,1200,2
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,アラカルト,ガーリックシュリンプ,1500,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,オリジナルカクテル,Tommy's Verde Margarita,1800,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,ジャパニーズカクテル,Hojicha Negroni,1700,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,スナック,バーニャカウダ,1000,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,ワイン（グラス）,"サングリア赤　1,800円",1800,1
,,,,,,,,,,RB0120260115180401000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51121F0D514A4CBC98384CB33C0988FE,ワイン（グラス）,"サングリア白　1,800円",1800,2
,,,,,,,,,,RB0120260115213402000,2026/01/15,23:26:50,14740,13400,1340,0,14740,1340,0,14740,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,1340,3,11,01:52:48,E,大泉,737A96EB67DA4833B9806FDF6E49C3CB,その他,tablecharge,500,3
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,カクテル,クラシックカクテル,1500,1
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ジン,タンカレー,1200,2
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ご飯もの,禁断パスタ,1800,1
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ご飯もの,マルゲリータ,1800,1
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ノンアルコールカクテル,シャーリーテンプル,1300,1
,,,,,,,,,,RB0120260115213402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737A96EB67DA4833B9806FDF6E49C3CB,ワイン（グラス）,"サングリア赤　1,800円",1800,1
,,,,,,,,,,RB0120260116184324000,2026/01/16,20:33:37,28000,28000,2545,0,28000,2545,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,01:50:13,C,大泉,20D0CC5BABDD41449D5A2EE869343EAA,未設定,7000円飲み放題付（2時間制）,7000,4
,,,,,,,,,,RB0120260116194237000,2026/01/16,21:35:30,10230,9300,930,0,10230,930,0,10230,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,930,2,8,01:52:52,"4, 5",大泉,56FAB9B7363B4EE3BFE17D3F7E69877B,その他,tablecharge,500,2
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,カクテル,クラシックカクテル,1400,1
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,アラカルト,フレンチフライ,1000,1
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,ご飯もの,禁断パスタ,1800,1
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,オリジナルカクテル,セイロンバックスフィズ,1500,1
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,ソフトドリンク,ウーロン茶,800,1
,,,,,,,,,,RB0120260116194237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56FAB9B7363B4EE3BFE17D3F7E69877B,ワイン（グラス）,"サングリア白　1,800円",1800,1
,,,,,,,,,,RB0120260116195904000,2026/01/16,22:28:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,02:29:34,"1, 2, 3",大泉,3C7A46BEA12847059D2CD1AE82051435,未設定,No charge,0,4
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,アラカルト,トマトのカプレーゼ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,アラカルト,前菜の盛り合わせ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ビール,ガージェリー,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,アラカルト,鶏もものソテー,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,デザート,本日のデザート,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ご飯もの,禁断パスタ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ご飯もの,マルゲリータ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ジャパニーズカクテル,山葵と梨のスマッシュ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ジャパニーズカクテル,Japanese High Tea,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ノンアルコールカクテル,シャーリーテンプル,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,ご飯もの,ラザニア,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,アラカルト,ガーリックシュリンプ,0,1
,,,,,,,,,,RB0120260116195904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3C7A46BEA12847059D2CD1AE82051435,オリジナルカクテル,Arrow Head,0,1
