集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,串焼き,うずら肉巻き串,,,275,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,アルコール,角ハイボール,メガ角ハイボール,,900,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,果実酒【鬼おろし】,鬼おろしサワー【果実酒】,うめ【ロック】,,715,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,ソフトドリンク,カルピス,,,440,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,お通し,お通し,女性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,お通し,お通し,男性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,単品料理,ニラ玉,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,串焼き,レタス巻き,レタス巻き,,350,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,串焼き,焼き鳥【ぼんじり】,塩,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260112192841472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0A5C1585E44B4A24BA4216EE58CD2494,串焼き,エビマヨ串,,,365,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,2026/01/13,17:33:36,2026/01/13,19:31:09,10770,10770,979,0,10770,979,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9230,0,0,0,0,0,2,25,01:57:33,T9,0001,佐藤舞桜,未設定,7356105BDC79496ABE40954465E38E52,串焼き,うずら肉巻き串,,,275,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,つくね,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,アルコール,角ハイボール,メガ角ハイボール,,900,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,アルコール,角ハイボール,角ハイボール,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,サワー,こだわり酒場のレモンサワー,通常,,550,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,単品料理,冷奴,,,418,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,単品料理,記憶に残るポテトサラダ,,,748,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,お通し,お通し,男性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,豚串,,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,レタス巻き,レタス巻き,,350,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,紅生姜巻き,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,豆苗しゃぶ串,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,お好み焼き串,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113173349860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7356105BDC79496ABE40954465E38E52,串焼き,万能ネギのしゃぶ串,,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,2026/01/13,18:23:25,2026/01/13,20:29:48,11308,11308,1028,0,11308,1028,0,0,0,0,0,11308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,02:06:22,T11,0001,上田友仁,未設定,B4489821ED1D4498B28E0FEB4163EDFD,ビール,ミニジョッキビール,,,385,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,サワー,カルピスサワー,カルピスサワー,,550,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,単品料理,枝豆,,,418,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,お通し,お通し,女性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,日本酒,田酒,,,1650,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,ソフトドリンク,お冷,,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,日本酒,大那【ましだやコレクション】,,,1430,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,串焼き,焼き鳥【もも】,タレ,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,串焼き,焼き鳥【せせり】塩,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,煮込み,煮込み【牛すじ】,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,串焼き,焼き鳥【軟骨】,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,日本酒,仙禽【赤とんぼ】,,,1650,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,単品料理,桃色片想いのチキン南蛮,,,858,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113182952101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B4489821ED1D4498B28E0FEB4163EDFD,単品料理,肉野菜炒め,,,825,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,2026/01/13,19:28:31,2026/01/13,20:31:49,6006,6006,546,0,6006,546,0,0,0,0,0,6006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,01:03:18,T16,0001,上田友仁,未設定,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,のりチーズ,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,アスパラ肉巻き,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,ミニトマト肉巻き,,,286,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,つくね,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,ビール,生ビール,生ジョッキ,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,果実酒【鬼おろし】,鬼おろしサワー【果実酒】,キウイ【ソーダ】,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,果実酒【鬼おろし】,鬼おろしサワー【果実酒】,レモン【ソーダ】,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,単品料理,枝豆,,,418,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,お通し,お通し,女性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,お通し,お通し,男性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,豚しそ巻き,,,286,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,レタス巻き,レタス巻き,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,串焼き,お好み焼き串,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193024896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0D55D964CFA749FF85063D7F9ED9FBD3,単品料理,チーズの西京焼き,,,770,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,2026/01/13,19:23:35,2026/01/13,21:06:12,26895,26895,2445,0,26895,2445,0,26895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,01:42:37,T2,0001,上田友仁,未設定,E67A5AE08751428AB24A5048FD08B396,串焼き,アスパラ肉巻き,,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,ミニトマト肉巻き,,,286,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,ビール,生ビール,生ジョッキ,,660,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,焼酎,富乃宝山（芋）,ソーダ割り,,660,20,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,単品料理,たたききゅうり,,,495,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,単品料理,ニラのおひたし,,,528,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,お通し,お通し,男性,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,豚しそ巻き,,,286,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,レタス巻き,レタス巻き,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,紅生姜巻き,,,308,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,豆苗しゃぶ串,,,308,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113192353519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E67A5AE08751428AB24A5048FD08B396,串焼き,万能ネギのしゃぶ串,,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,2026/01/13,18:56:13,2026/01/13,21:42:00,9828,9828,893,0,9828,893,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,2,38,02:45:46,T6,0001,佐藤舞桜,未設定,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク,生ビール,,0,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク,レモンサワー,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク,梅酒【ロック】,,0,11,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク,梅酒【水割り】,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク,オレンジ,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク2,モスコミュール,,0,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク2,カシスオレンジ,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク2,ハイボール,,0,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク2,ジンバック,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,飲み放題ドリンク,フリードリンク2,ファジーネーブル,,0,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,コース,飲み放題,飲み放題2H,,2200,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,お通し,お通し,男性,,330,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,単品料理,ニラ玉,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,串焼き,レタス巻き,レタス巻き,,350,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113185643183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02B15FDC82294BFFBB32043E4220AD47,単品料理,ピリ辛メンマ,,,528,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,2026/01/13,19:31:13,2026/01/13,21:55:27,42823,42823,3893,0,42823,3893,0,42823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,87,02:24:13,T4,0001,佐藤舞桜,未設定,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,のりチーズ,,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,アスパラ肉巻き,,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,椎茸肉巻き,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,えびしそチーズおろしポン酢,,,365,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,ビール,生ビール,生ジョッキ,,660,8,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,アルコール,角ハイボール,メガ角ハイボール,,900,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,アルコール,角ハイボール,角ハイボール,,660,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,サワー,こだわり酒場のレモンサワー,通常,,550,14,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,アルコール,緑茶ハイ,ノーマル,,495,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,アルコール,ウーロンハイ,ノーマル,,495,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,カクテル,モヒート,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,ソフトドリンク,緑茶,,,385,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,ソフトドリンク,ウーロン茶,,,385,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,梅水晶,,,528,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,たたききゅうり,,,495,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,記憶に残るポテトサラダ,,,748,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,漬物盛り合わせ,,,628,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,イカの一夜干し,,,858,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,軟骨唐揚げ,,,628,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,お通し,お通し,男性,,330,7,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,お通し,お通し,女性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,豚しそ巻き,,,286,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,イモフライ,,,418,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,豚串,,,330,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,わさびと食べる紅生姜のだし巻き,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,串焼き,焼き鳥【もも】,塩,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,単品料理,丸ごとガリトマト,,,715,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260113193305823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B99F4AA4D6BB42BC9BC8313CBE88E3D0,サワー,こだわりレモン【メガ】,メガレモンサワー,,880,1,0,0,-,0,,0,0,0,0
