イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「売上が落ちた」のではなく、集客の準備を一切してへんかっただけ
歓送迎会という自動で人が動くボーナス期間に、何も仕込まずに終わったことが問題です
やることは3つ
・新規客を一見”で終わらせない設計
・次に来る理由（用途・名目）を事前に刷り込む
・繁忙期中に「次の売上の種」を回収する"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"忙しい時にマーケを考えていない店は、必ず暇な時に焦ります
歓送迎会で来た人たちに、次に来る理由を用意していたか？を正直に振り返ってください"
,,,,
,"12
トリガー",,ネタメモ：ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"価格は「集客用」「利益回収用」「比較回避用」に分けて設計してください
ロスリーダー戦略の本質は、「安く売ること」じゃなくてどの商品で客を連れてきて、どこで利益を取るかを決めて役割分担することです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"今日やれることは一つ。
メニューを見て、「これは集客用か？利益用か？それとも何も考えてないか？」
この3択で全商品を仕分けてみてください"
,"1
過去に伸びたもの",,ネタメモ：給料上げてもスタッフは辞めます,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,給料を上げても、スタッフは普通に辞めます
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"人は「評価が不明確な環境」から必ず離れます。
辞める店に共通しているのはこの3つです。
・何を頑張れば評価されるのか分からない
・怒られる基準はあるが、褒められる基準がない
・店長や社長の機嫌で扱いが変わる"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,給料を上げる前に期待値と評価基準を言語化し、再現できる状態にすることです
,,,,
,"2
過去に伸びたもの",,ネタメモ：キッチンカー経営なめたらあかん,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,キッチンカー経営を「初期費用が安いから簡単」ってなめたらあかん
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「事業としての前提条件」が、普通の飲食店と全く違うからです
キッチンカーは「飲食店」ではなく「移動型マーケティング事業」です
難しいと言われる理由は主に3つ。
・売上が「立地」ではなく「日と時間」に完全依存する。
・集客と営業を全部自分でやらないといけない。
・スケールしにくい。"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"キッチンカーは“楽な独立”じゃありません。
「自分は料理人か？それとも営業マンか？」を正直に決めてください。
この質問の意味を理解した上でやる人だけが、生き残ります。"
,,,,
,"3
過去に伸びたもの",,ネタメモ：お金がない！銀行に借りよう！が一番失敗します（貸してくれへん）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,融資は、返せる状態が説明できる人にしかお金は出ません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"融資が出る条件は「熱意」でも「夢」でもありません
返済原資が数字で説明できること、お金の使い道が“利益に変わる構造”になっていること、すでに管理できている実績があること
ここしかみられません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"最低限、これだけは、即答できる状態にしておくべきです。
・営業利益はいくらか
・人件費率・原価率はいくらか
・この利益から、毎月いくら返せるか"
,,,,
,"4
過去に伸びたもの",,ネタメモ：アルコールを売ろうとしてるのは時代遅れです,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,アルコールを売ろうとしてるのは時代遅れです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,ノンアルを代替ではなく主役候補として持ち上げつつ、滞在時間・会話・食事そのものを価値付けし、「飲まなくても来ていい店」というメッセージを明確に出して行きましょう
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"あなたのお店、飲まない人が楽しめる設計になっていますか？
酒を売る店は減ります。今後居心地を売る店が残る時代になるのでしっかり意識して行きましょう"
,,,,
,"5
今伸びてるもの",,ネタメモ：店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,店長の熱量とアルバイトの熱量に差が出始めたら危険信号です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"店長が熱く語れば語るほど人が離れて行きます
今後は数字・目的・因果・判断基準を軸に会話をしてください"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"ただ、創業初期や少人数フェーズでは、一時的にパッション主導が機能する場合もあります
組織になろうとした瞬間切り替えるべきです"
,,,,
,"6
今伸びてるもの",,ネタメモ：ラストオーダー30分前、めちゃくちゃ嫌な顔されました,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,ラストオーダー30分前、めちゃくちゃ嫌な顔されました
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"その店は次の来店を自分で捨てています
「閉店間際＝単価が下がる・いいお客様が来ない時間帯」だと、お店側が勘違いしていること"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"閉店間際の接客が、その店の本性です
接客は営業時間中ずっと同じ価値です
閉店が近いほど、雑にしていい時間帯なんて存在しません"
,,,,
,"7
今伸びてるもの",,ネタメモ：厨房面積比率,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,厨房面積比率を理解せずに店を作ると開業した瞬間から利益が出ない構造が完成します
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"厨房面積比率は“料理”ではなく“オペレーション”から逆算する必要があります
・一般的な飲食店：30〜40％
・オペが軽い業態：25〜30％
・仕込み重め／専門業態：40％"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"厨房が広すぎると席数が減って売上上限が下がる
狭すぎるとオペレーションが詰まり人件費が跳ねる
人件費率と売上天井を同時に決めているということです"
,,,,
,"8
今伸びてるもの",,ネタメモ：賄いは課税対象,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,無料で賄い出してたら税務調査で突っ込まれますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"(1) 従業員が食事の価額の半分以上を負担していること
(2)（食事の価額 − 従業員負担額）が 1か月当たり 3,500円以下（税抜）であること
この2つが同時に満たされている必要があります。"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"賄いは条件を満たさない限り、給与課税です
賄いは善意で出すのではなく税法に従って提供しましょう"
,,,,
,"9
今伸びてるもの",,ネタメモ：法人or個人,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,法人or個人で迷う人の9割は、最大の違いを見れてないです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"個人事業主の最大のメリットは何よりも固定コストがほぼ無い身軽さです
逆に最大のデメリットは利益が出るほど、全部「自分の所得」になること

法人の最大のメリットはお金を「分けて設計できる」こと
最大のデメリットは固定コストから逃げられないです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,個人は稼げば稼ぐほど、個人は苦しくなるので稼ぐフェーズに入った瞬間法人成りは視野に入れましょう
,,,,
,"10
今伸びてるもの",,ネタメモ：人時売上高,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,人時売上高は、高ければいい数字じゃありません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"人時売上高は、この式で出します。
人時売上高 ＝ 売上 ÷（労働時間の合計）"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"人時売上高を見ていない店は、儲かっているつもりで、静かに閉業に向かってる場合もあります
高すぎるのは未来を削って今を作っているだけ、低すぎるのは忙しいだけで利益が残らないです
健全に上がった人時売上高だけが正解です"
,,,,
,"11
新テーマ",,ネタメモ：事務作業やってたらライバル店に置いていかれる,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,売上を伸ばしているお店ほど、現場のパソコン業務をしてません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"飲食店経営は「現場と判断」に集中した店が勝ちます
利益を直接生まない業務は、全部外注にしています"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"事務作業を「自分でやるか・やらないか」は、コストの話じゃなくて経営スピードの話です
もし今
・事務に追われて現場が見れていない
・数字はあるのに判断が遅れる
・社長が一番忙しい
このどれかに当てはまるなら、僕が提供している飲食店専門のバックオフィスサービスを低額でお受けできますのでいつでもご相談ください"
,,,,
,"12
トリガー",,ネタメモ：税理士さんから去年の決算書そろそろ届きました？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,税理士さんから決算書が届いても売上だけ見てたら経営者失格です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"最低限、この3つだけ見る癖をつけてください
・営業利益は増えたか、減ったか
・人件費率・原価率は去年と比べてどうか
・現金は増えているか、減っているか"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"決算書を読まない人に経営が上手くなる未来はありません
決算書は難しい書類ではなく経営の通知表です
去年と今年の決算書を並べて、数字が増えたか減ったかに○×をつけるだけでも理解が深まりますよ"
,"1
過去に伸びたもの",,ネタメモ：厳しい話ですが、アルバイトはお金目的です,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,厳しい話ですが、アルバイトはお金目的で働きに来てます
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,お金は動機ではなく前提条件であってマネジメントで多くのお店が失敗する理由はお金（衛生要因）とやりがい（満足要因）を混同しているからです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"まずは衛生要因を満たしたあと判断基準を明確にし、裁量を渡し承認をしてあげてください
明日アルバイトにこう聞いてみてください。
「この店で、何を頑張れば評価されると思う？」
この質問にアルバイトが即答できないのであれば危険信号です"
,,,,
,"2
過去に伸びたもの",,ネタメモ：交差原価,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,あなたのお店のメニュー、お客様から「つまらん」って思われる構成になってるかもですよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"交差原価とはメニュー全体の平均原価で判断する考え方
交差原価＝ 単品原価率 × 売上構成比で各商品の交差原価が計算できます"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,原価高いから値上げ・削除と早まるのではなく集客用メニュー、利益残すようメニューと使い分けられるようになりましょう
,,,,
,"3
過去に伸びたもの",,ネタメモ：計画しなさすぎ（PL）→コメントで無料面談,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,これから飲食店を始めるのにPLを一切考えてない人、多すぎます
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"飲食は勢いで始められるけど、計画なしでは生き残れないビジネスです
飲食店は、開業前にPLが描けていない時点で負けです。
・月商はいくらを狙うのか
・原価と人件費は何％にするのか
・家賃と固定費はいくらか
・最終的に、いくら残したいのか
ここからさらに
・席数
・単価
・営業時間
・人員配置
全部が逆算で決まります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"もしあなたが
・これから飲食店を始める
・今まさに計画段階にいる
このどちらかなら、今が一番、軌道修正しやすいタイミングです。
今回は「これから開業」または「計画段階」の方のみ限定で、 PL計画の無料面談をやります
面談お願いしたい方はコメントください"
,,,,
,"4
過去に伸びたもの",,ネタメモ：365日なにがあっても上げ続けられますか？（ショート動画）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,365日、何があっても上げ続けられないなら、SNS集客はやらない方がマシです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「時間がある時にでも」
「投稿ネタが浮かんだら」
「週一投稿は頑張る」
このスタンスで集客に成功したお店はありません
SNS集客は、センスじゃなく継続できるかどうかの勝負です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"・完璧を狙わない
・毎回バズらせようとしない
・反応より“投稿回数”を最優先する
SNSは1本の神投稿より、100本の普通の投稿が効きます"
,,,,
,"5
今伸びてるもの",,ネタメモ：社長の仕事は意思決定,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"社長の仕事は現場ではなく意思決定です
頑張っているのに伸びひんのは努力不足じゃなくて役割を取り違えているだけです"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"社長がやるべき仕事は「判断」と「優先順位付け」だけ
一瞬の判断の遅れはキャッシュフローが早い飲食では致命傷です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"現場を回す社長は、会社を止めます
社長が現場にいる時間が長いほど、会社は今の現状から抜け出せません
明日から
・何に投資するか
・何をやめるか
・誰に任せるか
3つを決めて仕事をしてください"
,,,,
,"6
今伸びてるもの",,ネタメモ：ペルソナが決まってなかったら開業時に大失敗します（メニュー開発、写真、皿などのコスト）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,ペルソナが決まっていないまま開業すると、200万円は損します
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"ペルソナはマーケの話だけじゃなくてコスト管理の話です
ペルソナが曖昧やと
・メニューが増える
・写真を撮り直す
・皿を買い替える
逆に、ペルソナが決まっていれば
・売る品数が絞れる
・必要な写真が決まる
・皿の数・サイズ・素材が決まる
つまり、先に誰を決めるだけで、開業コストは落ちるんです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"計画しない開業は、必ず高くつきます。
「この店は、誰のどんなシーンを取りに行くのか」
これがまだ分からないなら計画は甘いです"
,,,,
,"7
今伸びてるもの",,ネタメモ：取引業者や営業に対して高圧的な態度取ってる経営者は会社の成長止めてますよ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,取引業者や営業に高圧的な経営者は情報と選択肢を失いますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"外部への態度は、そのまま社内マネジメントの写し鏡です
業者に対して横柄・一方的・敬意がない
この姿勢は、必ず社内に伝播します
「立場が上なら、雑に扱っていい」とスタッフは勘違いしますよ"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"マネジメントは、社内だけの話じゃありません。
外部への敬意は、会社の文化になります
「この態度を、社員は見てどう思うか？」これを一度だけ意識してください。"
,,,,
,"8
今伸びてるもの",,ネタメモ：守り攻めのマインド　リスク志向（RQ）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,組織が伸びない最大の原因は全員に同じリスク判断を求めていることです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"マネジメントは「能力を伸ばすと思ってたら勘違いで、リスクの取り方を設計する仕事です
人によってリスク許容度は異なります"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,守り型、攻め型のバランスを取りながらチームを構成し、個々人に合わせたマネジメントをしてください
,,,,
,"9
今伸びてるもの",,ネタメモ：自分は料理できひんしって経営者さん、それでいいんです,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,自分は料理できひんしって経営者さん、それでいいんです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
