No,カテゴリ,企画タイトル,概要,シーン番号,シーン概要,映像イメージ,必要な撮影素材,テロップ（文字）,音声（ナレーション）,効果音（オノマトペ）,注意点・指示
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介,4,アフター測定,"動画：再度、水分チェッカーを手の甲に当てる。測定結果の高い数値（例：55%）がアップで表示される。ビフォーの「25%」という数字が小さく横に表示され、矢印で「55%」につながるような編集。
テロップ：『なんと…55%にUP！』
色=黄色（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ1名（施術者）、スタッフ1名（被施術者）
撮影者：別スタッフ
方法：ビフォーと同じアングルで撮影し、数値のアップを強調する
ライティング：リングライトで明るくする",なんと…55%にUP！,施術後、もう一度測ってみると…こんなにうるうるになりました！,【ピピッ】→【ジャーン！】,ビフォーアフターの差が視覚的に分かりやすいように、編集で数値を並べて表示する。
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介,5,クロージング,"動画：潤ってツヤが出た手の甲を、角度を変えながらゆっくり見せる。最後にクリニックのロゴを表示。
テロップ：『手肌のご相談は〇〇クリニックへ』
色=白（縁取り黒）、サイズ=中、位置=中央下","被写体：スタッフ1名（被施術者）
撮影者：別スタッフ
方法：ツヤ感が伝わるように、照明を反射させながらゆっくり撮影
ライティング：リングライトを少し斜めから当て、ツヤを出す",手肌のご相談は〇〇クリニックへ,手肌のお悩み、お気軽にご相談ください。,【キラーン☆】,手の甲のツヤ感が最も伝わるライティングを探す。クリニックのロゴは編集で最後に追加する。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,1,オープニング,"動画：スタッフが施術準備室のドアを静かに開ける手元のアップ。
テロップ：『【初公開】クリニックの施術準備、お見せします！』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元に寄ってスマホで撮影
ライティング：天井照明＋リングライト",【初公開】クリニックの施術準備、お見せします！,（BGMスタート）,【カチャ】,ドアや壁に汚れがないか事前に確認。清潔感を第一に。爪は短く清潔に整える。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,2,タオルの登場,"動画：棚にきれいに積まれた真っ白なタオル。そこから一枚をスッと取り出す手元。
テロップ：『まずは、ふわふわのタオル準備から』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：タオルの清潔感と柔らかさが伝わるように、少しスローモーション気味に撮影
ライティング：タオルの白さが際立つように明るく",まずは、ふわふわのタオル準備から,（BGM）,【フワッ】,タオルにシワや汚れ、髪の毛などが付着していないか厳重にチェックする。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,3,タオルの折り方（早送り）,"動画：清潔な台の上で、手際よくタオルを折っていく様子を早送りで見せる。
テロップ：『神業！？秒速タオル折り』
色=ピンク、サイズ=中、位置=中央下","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元を真上から撮影（俯瞰）。スマホを三脚で固定すると安定する
ライティング：手元に影ができないようにリングライトを使用",神業！？秒速タオル折り,（BGM）,【シュシュシュッ】,動きが速くても雑に見えないよう、丁寧さを意識。完成形はきれいに見せるカットも用意する。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,4,タオルのセッティング,"動画：きれいに折られたタオル（例：ロール状）を、施術ベッドの所定の位置に「ポン」と優しく置く。
テロップ：『お客様のために心を込めて』
色=白（縁取り黒）、サイズ=小、位置=右上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：少し引きのアングルで、ベッドに置く様子を撮影
ライティング：部屋全体が明るく清潔に見えるように",お客様のために心を込めて,（BGM）,【ポンッ】,ベッドシーツも清潔でシワがない状態にしておくこと。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,5,器具の準備（開封）,"動画：滅菌パックされた器具を「パリッ」と開封する手元のアップ。
テロップ：『衛生管理は徹底しています』
色=水色、サイズ=中、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元に最大限寄って撮影。開封音をマイクがしっかり拾えるようにする
ライティング：手元を明るく照らす",衛生管理は徹底しています,（BGM）,【パリッ】,滅菌パックのメーカー名やロゴが映り込まないように角度を調整する。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,6,器具のセッティング,"動画：ピンセットで器具を一つずつトレイにきれいに並べていく様子。
テロップ：『使いやすさも美しさも大事』
色=白（縁取り黒）、サイズ=小、位置=左下","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元を斜め上から撮影。器具が光に反射してきれいに見えるようにライティングを調整
ライティング：器具がキラリと光るようにライトの角度を工夫",使いやすさも美しさも大事,（BGM）,【カチャ】【キラッ】,器具を置く音がリズミカルになるように意識して撮影し、編集でテンポを調整する。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,7,準備完了,"動画：準備が完了した施術ワゴン全体を、下から上へゆっくりとチルトアップして見せる。
テロップ：『準備完了！』
色=黄色、サイズ=大、位置=中央","被写体：なし（セッティングされたワゴン）
撮影者：別スタッフ
方法：少し引いた位置からワゴン全体を撮影。スマホをゆっくり動かす
ライティング：全体が明るく見えるように",準備完了！,（BGMの盛り上がり部分）,【ジャーン】【キラキラキラ】,全体的に整理整頓され、清潔感があることをアピール。編集でキラキラエフェクトを追加する。
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介,8,クロージング,"動画：スタッフがワゴンに向かって頷き、丁寧に一礼する（胸から下）。
テロップ：『いつでもお待ちしております♡\n〇〇クリニック』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：スタッフの胸から下の制服がきちんと見えるように撮影
ライティング：清潔感のある服装が引き立つように",いつでもお待ちしております♡\n〇〇クリニック,（BGMフェードアウト）,【ニコッ】,クリニック名は仮の「〇〇クリニック」として記載。お辞儀は丁寧に行うこと。
9,クリニック紹介,よくある質問シリーズ,患者さんからの質問をナレーションやテロップで解説,1,オープニング・質問提示,"動画：白衣を着たスタッフが、クリニックの受付PCで予約スケジュール画面を操作している手元のアップ。
テロップ：『【よくある質問】予約は必要ですか？』
色=黒（縁取り白）、サイズ=大、位置=画面上部","被写体：スタッフ（白衣着用）
撮影者：別スタッフ
撮影方法：手元に寄ってスマホで撮影（俯瞰気味）
ライティング：天井照明＋デスクライトで手元を明るく",【よくある質問】予約は必要ですか？,患者様からよくいただくご質問！「予約は必要ですか？」,ポンッ,PC画面にはダミーのスケジュールを表示し、個人情報が映らないようにする。爪は短く清潔に。
9,クリニック紹介,よくある質問シリーズ,患者さんからの質問をナレーションやテロップで解説,2,結論を提示,"動画：清潔感のある受付カウンターに置かれた「完全予約制」と書かれたプレートを、スタッフが指で指し示す。
テロップ：『A. はい！当院は【完全予約制】です』
色=赤（縁取り白）、サイズ=大、位置=中央","被写体：スタッフ（指のみ）
撮影者：別スタッフ
撮影方法：プレートに寄ってスマホで撮影
ライティング：カウンターの照明を活かし、明るく撮る",A. はい！当院は【完全予約制】です,はい！当院は、患者様をお待たせしないよう、完全予約制となっております。,ジャーン！,プレートの文字がはっきり読めるようにピントを合わせる。指は綺麗に見えるように。
9,クリニック紹介,よくある質問シリーズ,患者さんからの質問をナレーションやテロップで解説,3,予約制の理由を解説,"動画：カウンセリングルームで、スタッフが患者役のスタッフに資料を見せながら説明している様子（胸から下のみ）。和やかな雰囲気を出す。
テロップ：『お一人おひとりに、じっくり向き合うために』
色=白（縁取り黒）、サイズ=中、位置=画面下部","被写体：スタッフ2名（説明する側、される側）
撮影者：別スタッフ
撮影方法：少し引きで、二人のやり取りがわかるようにスマホで撮影
ライティング：部屋の照明＋リングライトで顔に影ができないように",お一人おひとりに、じっくり向き合うために,待ち時間をなくし、お一人おひとりに、じっくり時間をかけて向き合うためなんです。,キラキラ,顔が映らないようにアングルを工夫する。机の上は整理整頓し、清潔感を出す。
9,クリニック紹介,よくある質問シリーズ,患者さんからの質問をナレーションやテロップで解説,4,予約方法の案内,"動画：スタッフがスマホを手に持ち、クリニックの公式WEBサイトの予約ページを開いて見せる。最後に軽く会釈するような動作。
テロップ：『ご予約はWEB・お電話で！』『詳細はプロフィール欄をチェック→』
色=白（縁取り黒）、サイズ=中、位置=画面下部","被写体：スタッフ
撮影者：別スタッフ
撮影方法：スマホ画面が見やすいように手元アップで撮影
ライティング：リングライトで手元とスマホ画面を明るく照らす",ご予約はWEB・お電話で！詳細はプロフィール欄をチェック→,ご予約は、便利なWEB予約か、お電話にて承っております。お気軽にご連絡ください！,ピコン！,スマホ画面に通知や個人情報が映り込まないように注意。WEBサイトはデモ用か、個人情報が映らないページを使用する。
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介,1,オープニング,"動画：清潔感のある白衣を着たスタッフが、バインダーに挟まれたカルテ風の書類をめくる手元のアップ。
テロップ：『スタッフが本気でおすすめ！』→『〇〇クリニック 施術ランキングTOP3』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（白衣着用）
撮影者：別スタッフ
撮影方法：手元に寄ってスマホで撮影（真上から）
ライティング：天井照明＋リングライト","スタッフが本気でおすすめ！
〇〇クリニック
施術ランキングTOP3",（アップテンポなBGMスタート）今回は、当院のスタッフが本気でおすすめする施術ランキングTOP3をご紹介します！,ジャジャン！,爪は短く清潔に。バインダーや書類にクリニック名以外の文字が映らないように注意。
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介,2,第3位の発表,"動画：スタッフが施術で使う綺麗なボトル（化粧水など）を手に取り、コットンに数滴垂らすシーン。
テロップ：『第3位』→『うるツヤ肌に！美肌トリートメント』→『＼こんな人におすすめ／』→『・乾燥が気になる』『・肌に透明感がほしい』
色=白（縁取り黒）、サイズ=中、位置=中央下部","被写体：スタッフ（制服着用）
撮影者：別スタッフ
撮影方法：手元を中心にスマホで撮影
ライティング：明るく清潔感が出るように調整","第3位
うるツヤ肌に！美肌トリートメント
＼こんな人におすすめ／
・乾燥が気になる
・肌に透明感がほしい",まずは第3位！うるツヤ肌になれる美肌トリートメントです。施術後のお肌のもちもち感はやみつきになりますよ。,ポンッ！キラキラ,ボトルのラベルに記載されたブランド名や商品名が見えない角度で撮影する。
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介,3,第2位の発表,"動画：スタッフが医療脱毛のハンドピース（照射部分）を清潔な布で拭き、準備するシーン。その後、腕の模型などにテスト照射するイメージ。
テロップ：『第2位』→『つるすべ肌革命！医療脱毛』→『＼人気のヒミツ／』→『・痛みが少ない最新機器』『・効果を実感しやすい』
色=白（縁取り黒）、サイズ=中、位置=中央下部","被写体：スタッフ（制服着用）
撮影者：別スタッフ
撮影方法：手元を中心にスマホで撮影。少し斜めからのアングルでプロ感を出す。
ライティング：機器が綺麗に見えるようにライトを当てる","第2位
つるすべ肌革命！医療脱毛
＼人気のヒミツ／
・痛みが少ない最新機器
・効果を実感しやすい",続いて第2位は、医療脱毛です！当院の最新機器は痛みが少なく、効果を実感しやすいと評判なんです。,シュンッ！ピッ！,照射の光が強すぎないように注意。実際の肌ではなく、模型やマネキンを使用すること。
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介,4,第1位の発表,"動画：点滴の準備をするシーン。アンプルから薬剤をシリンジで吸い上げ、点滴バッグに混注する一連の流れをスローモーションも交えて見せる。
テロップ：ドラムロール風に『そして…』→『第1位』→『内側から輝く！高濃度ビタミン点滴』→『＼スタッフ支持率No.1／』→『・疲れが取れにくい』『・美白も目指したい』
色=金（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（制服着用）
撮影者：別スタッフ
撮影方法：手元のアップ。シリンジの目盛りなどが見える距離で撮影。一部スローモーションを使用。
ライティング：手元を重点的に照らし、プロフェッショナルな雰囲気を出す。","そして…
第1位
内側から輝く！高濃度ビタミン点滴
＼スタッフ支持率No.1／
・疲れが取れにくい
・美白も目指したい",そして、栄えある第1位は…高濃度ビタミン点滴です！疲れも取れて肌も綺麗になるので、スタッフにも一番人気の施術です！,ドドドド…ジャーン！キラキラキラ！,薬剤のラベル名は映さない。衛生面に最大限配慮し、手袋を着用して撮影すること。
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介,5,エンディング,"動画：スタッフが綺麗に整えられた施術ベッドのシーツを整え、最後に軽く会釈する（胸から下）。
テロップ：『気になる施術はありましたか？』→『ご予約はプロフリンクから』→『〇〇クリニック』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：スタッフ（制服着用）
撮影者：別スタッフ
撮影方法：少し引きのアングルで、クリニックの清潔な内装も映す。
ライティング：空間全体が明るく見えるようにする。","気になる施術はありましたか？
ご予約はプロフリンクから
〇〇クリニック",いかがでしたか？気になる施術があれば、お気軽にご相談くださいね。お待ちしております！,（BGMがフェードアウト）ピコンッ,背景に他の患者さんや個人情報が映り込まないように徹底する。お辞儀は丁寧に行う。
11,トレンド,美容ナースあるある,流行りの音源を使って美容ナースの日常あるあるを再現,1,施術準備あるある,"動画：清潔な処置台の上で、ナース服を着たスタッフが箱から注射器を次々とリズミカルに取り出し、綺麗に並べていく手元のアップ。
テロップ：『今日のノルマ（嘘です）』
色=白（縁取り黒）、サイズ=中、位置=中央上","被写体：看護師役スタッフ（手元のみ）
撮影者：別スタッフ
撮影方法：俯瞰気味のアングルで手元に寄ってスマホ撮影
ライティング：天井照明＋リングライトで明るく",今日のノルマ（嘘です）,（流行りの音源）,【カシャ】【カシャ】【シュッ】,注射器のパッケージにメーカー名が映らないように注意。音源のリズムに合わせて開封する動きを意識する。
11,トレンド,美容ナースあるある,流行りの音源を使って美容ナースの日常あるあるを再現,2,練習台あるある,"動画：ナース服のスタッフが、もう一人のスタッフの腕に駆血帯を巻き、血管を探して指でトントンと叩いている手元のアップ。
テロップ：『新人ちゃんの練習台になりがち』
色=白（縁取り黒）、サイズ=中、位置=中央上","被写体：看護師役スタッフ2名（腕と手元のみ）
撮影者：別スタッフ
撮影方法：腕と手元にフォーカスしたアップ、スマホ撮影
ライティング：天井照明＋リングライト",新人ちゃんの練習台になりがち,（流行りの音源）,【トントン】【キュッ】,実際に針を刺すシーンは撮影しない。アルコール綿で消毒するまでの動きでOK。爪は短く清潔に。
11,トレンド,美容ナースあるある,流行りの音源を使って美容ナースの日常あるあるを再現,3,休憩中あるある,"動画：休憩室のテーブルの上。美容雑誌を囲み、スタッフ同士がお菓子をつまみながら「これ良いよね！」と指をさして盛り上がっている様子。
テロップ：『休憩中も結局、美容の話』
色=白（縁取り黒）、サイズ=中、位置=中央上","被写体：看護師役スタッフ2〜3名（手元と雑誌のみ）
撮影者：別スタッフ
撮影方法：テーブル全体が映る少し引いたアングル、スマホ撮影
ライティング：休憩室の自然な照明",休憩中も結局、美容の話,（流行りの音源）,【ペラッ】【パクッ】【ワイワイ】,雑誌の特定の商品名やモデルの顔、お菓子のパッケージがはっきり映らないように角度を調整する。
