投稿者,口コミタイトル,口コミ内容,総合点数,投稿日,訪問日,口コミタイプ,使った金額_夜,料理・味,サービス,雰囲気,CP,酒・ドリンク,この口コミへのいいね数
絵梨花ぽん,照明がオシャレ,夕方早めに伺いました。バーですが、食事のメニューもしっかりあって、カルパッチョやチョリソーなどお酒に合うお料理を美味しく頂きました。ハッピーアワーもやってるみたいで、そちらを利用するのもお得かもしれません。テーブル席にはオシャレな照明がそれぞれ置かれていて、雰囲気も楽しませて頂きました。,3.0,'24/05/07,'24/05,夜,,,,,,,5
lotus0118,,デートに向いてるしっとりとした内装。ハッピーアワーのハイボールからして口当たりが良く、フィッシュ&チップスに良く合って、スイスイと飲んでしまった。でも、いいお酒なのか二日酔いせず。,4.0,'24/02/09,'24/02,夜,"￥6,000～￥7,999",,,,,,8
YOUKI1123,雰囲気抜群で食事も美味しい,"新宿駅西口から徒歩5分の近さで、これだけ雰囲気のあるお店は中々ないかなと思います。

BAR？のようなラウンジのような、バーダイニングです！ソファ席もカウンターもあるのでデートには最高だと思います！
客層も良く落ち着いてるので、会食にも使えそう。

お酒はワインもフルーツカクテルも美味しくて満足です。ウイスキーの数もかなりあり、中でもオリジナルでボトリングしたウイスキーがあるのは珍しいかと。

食事もかなり美味しく、この雰囲気では貴重なお店でリピート確定です。早い時間に行き今度は食事をメインで食べます！",5.0,'24/02/12,'24/02,夜,"￥6,000～￥7,999",,,,,,7
とし1626,,全部美味しかったです。,4.0,'23/12/23,'23/12,夜,,,,,,,4
d46632,,"店内とカクテルがすごくおしゃれでした。
カクテルの味も美味しく接客も丁寧で好感が持てました。",4.5,'23/04/12,'23/04,夜,,,,,,,2
グルメ女子axax,新宿の女子会、デートならここ♪,"また女子会で2次会として利用しました。
少し暗めの雰囲気にソファー席でのんびりできました。
店内の現代アートも素敵です。

私はお酒が強くないのですが、支配人の村上さんはそれに合わせたカクテルを作ってくれるので、お酒の弱い方でも楽しめます。
いちごの氷も乙女心をくすぐります。
自家製ものやフルーツも多く、レモンチェロも美味しかったです。
つい飲んでしまいます。笑
変わったお酒も多いので、お酒好きさんにも良いかと。
料理もこだわっていてハズレがなく美味しいです。
お皿や見栄えも綺麗なので、デートにもおすすめです。",5.0,'23/04/09,'23/04,夜,"￥4,000～￥4,999",5.0,5.0,5.0,5.0,5.0,13
グルメ女子axax,,"カクテルも料理も美味しくて、サービスも素晴らしいので、ついリピート。
フルーツも豊富なのと、変わったウィスキーなどもあり毎度楽しめます。
何より知識豊富なバーテンダーさんがいるので、要望通りのものを出してくれて満足です。
ソムリエもいるので相談もし易いです。

時間ができると少し飲みに行きますが、1人で来ている方も多く行きやすいです。
22時頃からは混み易いみたいなので、その前がおすすめかと思います。",5.0,'23/04/07,'23/04,夜,,5.0,5.0,5.0,5.0,,22
グルメ女子axax,,"新宿とは思えない程店内はお洒落で、写真も映えるので女子会やお祝いで何度か利用しています。

女1人で飲みたい時もバーカウンターがあるので気軽に行き易く、支配人バーテンダーの村上さんのカクテルは、気分に合わせたものを出してくれるので本当に美味しいです。
気遣いなども素敵で居心地が良い空間です。

食事もどれも美味しく、特にカルボナーラごはんはリピートしてしまいます。
付き添いの方にも喜んで貰えるので、安心しておすすめできるお店です。
トイレが綺麗なのも嬉しいですね。
いつも素敵なサービスをありがとうございます。
また活用させて頂きます。",5.0,'23/03/08,'23/03,夜,,5.0,5.0,5.0,5.0,,8
tatta0166,,五感で愉しむ非日常的な空間で、大人の社交場で最高でした！,5.0,'23/04/02,'23/03,夜,,,,,,,1
溺れる金魚,,"こんなにオシャレのお店なのに、なぜか口コミが低いのがわからないけど…ほんとに料理美味しくて、可愛いオシャレのお店でした。
ドリンクメニューも種類多くて、美味しかったです。
場所少しわかりにくですが、また行きたいです。",4.5,'23/04/13,'23/03,夜,,,,,,,8
ナタリーポートマン63299,,"とてもオススメのバーです。
フードもレベルが高く勿論カクテルも美味しいですしお酒についても丁寧に教えていただき感謝してます。
気さくなマスターについつい時間を忘れて居座ってしまう、そんなお店です。
最高のバーテンダーがいるバーです！",5.0,'23/03/15,'23/02,夜,,,,,,,7
nao0321,,時間があるとここに行ってしまいます。メニュー変えて欲しいの願いを込めて星2に,1.5,'22/12/28,'22/12,夜,,,,,,,0
ナタリーポートマン63299,,"新宿とは思えないほど落ち着いた空間で美味しいお食事とお酒を楽しめました。
今後も利用したいです。",4.5,'22/12/27,'22/12,夜,,,,,,,4
nao0321,,"ライスのカルボナーラ絶品！！
お土産ありがとうございました",5.0,'22/12/17,'22/12,夜,,,,,,,6
nao0321,,お肉最高です！カクテルNo.1です！,4.5,'22/12/17,'22/12,夜,,,,,,,5
MKlog,,本格的なカクテルと料理が楽しめるBarです。落ちついた雰囲気とお洒落な内装で、一人でも、気になる人と一緒でも、素晴らしい時間が楽しめます,4.5,'23/04/06,'22/12,夜,,,,,,,4
nao0321,,"穴場！穴場！！！
ドリンク最高です！あと、口取りが1番美味しかったです^_^",4.5,'22/12/01,'22/11,夜,,,,,,,2
nao0853,美味しい料理とお酒を提供する、夜遅くまで営業している新宿のBAR,"店内はアートと緑に囲まれており、とても落ち着いた雰囲気のオシャレな内装。
夜遅くまで営業しているので、日常の仕事帰りにフラッと立ち寄れるのも◎

提供される料理とお酒も美味しく、これから何度も立ち寄りたいと思いました！",4.5,'22/10/18,'22/10,夜,,,,,,,4
ankoromochi1996,,"お酒の種類が豊富で、フルーツを使ったカクテルがとってもおすすめです。
普段あまりBARには行かないのですが、バーテンダーの方がたくさん教えてくださるので、楽しみながらお酒を楽しめます₍ᐢ.ˬ.ᐢ₎
お料理も、どれを食べても美味しいです。特にお肉が最高でした〜。",5.0,'22/10/04,'22/10,夜,,,,,,,2
y.abe65,,"西新宿でカクテルがとても上手なバーテンダーさんが店長として働くということでお伺いしました。
とても上品で清潔感のある店内で、女性一人でも入りやすいです。
店長の村上さんも更にレベルアップしていて、フルーツカクテルやオリジナルカクテルもたくさんありました。
食事も21時まで提供しているそうなので、また行こうと思います。",4.5,'23/04/29,,夜,,,,,,,2
lattekoh,,"ホワイトリリーというやつがメチャクチャ美味すぎる
絶対飲むべき",4.5,'23/03/25,,夜,,,,,,,2
