タイトル,投稿日,訪問日,レビュアー名,総合評価,料理・味,サービス,雰囲気,CP,酒・ドリンク,金額_夜,金額_昼,いいね数,口コミ本文
贅沢なひととき,'25/12/03,'25/12,まーちー4791,4.3,4.3,4.0,4.5,4.0,4.0,"￥10,000～￥14,999",－,109,"火曜日19時。素敵な盆栽が迎え入れてくれます。 11/25オープンでまだ間もないからか、とても綺麗です。女子会とデートがちらほら。静かですね。一番奥の素敵なソファー席（ボックス席）に案内いただきました。別天地コース。まずはビールで乾杯しましたが、おしながきを見て分かるように、最初からウニやカニ、鰹と、先付・八寸から次の白子まで、日本酒ですねw 和牛ユッケ風、半生提供でほどよい味付け、完全なお酒のアテです。金目鯛の煮付け。2人分とは思えないくらい大きい！ 優しい味付け、贅沢ですわー。ようやくメインのしゃぶしゃぶ。おひとり様用の鍋で、取り分け要らず。いまはみんなで鍋をつつく時代じゃない、こういうサービスは嬉しい。お野菜もたっぷり、柔らかいお肉とポン酢であっさりと。あら、まだ食べられる不思議。締めにはお蕎麦にカラスミを掛けて、なんとまあ豪勢な。最後に高級そうなおぼろ昆布がたくさん乗ったおにぎりまで、至れりつくせり。全体的に塩味は強くなく、食べやすかったです。スタッフさんはまだ慣れてはいない感じでしたが、とても礼儀正しく丁寧で、気持ちよく食事できました。長時間滞在、失礼しました。ごちそうさまでした。⭐︎ おしながき別天地コース 9,800円（税込、飲み物代別）先付 うに乗せ島豆腐八寸前菜盛り合わせ*  蟹味噌入り蟹ほぐしもずく添え*  塩銀杏イチョウ添え*  翡翠茄子*  鰹のたたき白子と根セロリの昆布だし和え黒毛和牛ユッケ風魚の煮付け 金目鯛黒毛和牛しゃぶしゃぶカラスミ蕎麦朧昆布おにぎり菊華椀⭐︎ お酒瓶ビール仙禽 モダン零式（栃木）みむろ杉 純米大吟醸（奈良）紀土 純米大吟醸（和歌山）"
繊細な和の技が光る、贅沢しゃぶしゃぶコース,'25/12/01,'25/12,lisa1656,4.3,4.3,,4.3,4.3,4.3,"￥10,000～￥14,999",－,180,別天地 銀座銀座駅から徒歩数分。スタイリッシュでモダンな空間が広がる、落ち着いた雰囲気のお店です。今回は 「別天地コース」 をいただきました。■ お通し島豆腐とウニ 大豆の風味がしっかりと感じられる濃厚なお豆腐に、ウニの旨みが重なりつつ後味はさっぱり。最初からテンションの上がる一品。■ 一〜九の品々【一】前菜【二】八寸 前菜盛り合わせ ・蟹味噌入り蟹ほぐし もずく添え ・塩銀杏 ・翡翠茄子 ・鰹のたたきみずみずしい茄子や香ばしく焼かれた銀杏が特に印象的。どれも丁寧な仕事を感じます。【三】白子と百合根の昆布だし和え すりおろした百合根の風味がふわりと広がり、白子のクリーミーさと相性抜群。【四】黒毛和牛ユッケ風 タレがしっかり絡んだお肉が野菜とよく合い、食べやすくカットされていてとても美味しい。【五】黒毛和牛しゃぶしゃぶ 赤身とロースの食べ比べ。 野菜やキノコと一緒にいただくと旨みが引き立ち、ポン酢でさっぱりと。 お肉は繊細でふっくら。脂がほどよく落ちて、どんどん食べ進めてしまう美味しさです。器もまた素敵。【六】カラスミ蕎麦 贅沢にカラスミがかけられた蕎麦は、コシと弾力がしっかり。香り高くて最高。【七】金目鯛の煮付け 驚くほど大きな金目鯛！ ほろほろでふっくらした身に、出汁の優しい味付けが染みていて絶品。【八】朧昆布おにぎり 程よい塩味で、昆布の旨みがしっかり感じられる〆。【九】菊華椀（ウニとシラスのお吸い物） まろやかな旨みのあるお出汁で、最後はあっさりと締められます。■ ドリンク・ジンジャーエール（辛口） ・知覧にっぽん紅茶（加糖） ・特選梅酒 うぐいす鶯とろ ・完熟もも酒 鳳凰美田 ・完熟もも酒 鳳凰美田 ヨーグルト割り梅酒は好みど真ん中の味わいで飲みやすく、完熟もも酒はとにかく美味しい！ ヨーグルト割りはまろやかで、こちらも大好きな一本に。■ サービススタッフさんの細やかな気配りがとても心地よく、終始リラックスして過ごせました。■ 総評どのお料理も丁寧で、変化のある内容で最後まで大満足。 日本酒にも力を入れているそうなので、日本酒好きの方にもぜひオススメしたいお店です。 気になった方はぜひ足を運んでみてください
大人な和のラグジュアリー空間で楽しむ、和牛三昧✨,'25/11/29,'25/11,た70317,4.0,,,,,,"￥10,000～￥14,999",－,10,店内に入ると和テイストの落ち着いた空間と、立派な松の木があります。カウンター席にソファー席、中央には１枚板のような長テーブルの席がありました。ラグジュアリーな雰囲気で、いるだけでも気分が上がる、そんなお店です金目鯛の煮付け以外は全て1人1皿で提供されるのが嬉しいポイント！土鍋ご飯も1人1つ用意してもらえます和牛すき焼きは、目の前で作ってくれます！テーブルにIHが埋め込まれているので、出来立てを暖かいままで楽しめるのも嬉しい♥︎お酒の種類も豊富で、料理に合わせてお酒も楽しめます特別な雰囲気と美味しいお料理で、とても幸せな気持ちになりました
洗練された和モダン空間で厳選された美味しいお酒と和食がいただける,'25/11/28,,77なないろ,4.0,,,,,,－,－,19,2025.11.25 NEW OPEN素敵な松の盆栽が飾られた店内は大人の隠れ家的空間。暖策をくぐれば別世界！非日常空間で素敵。この空間で食べられるのはTHE和食と厳選された美味しいお酒がいただけます。素敵なカウンターもあるのでBARとしても気軽に使いたい！
銀座で特別な夜を。11/25NEWオープン,'25/11/27,'25/11,ゆ | 東京千葉グルメ,3.9,,,,,,"￥10,000～￥14,999",－,655,11月25日、銀座に新たに誕生した「別天地 銀座」さんへ。和の趣と大人のラグジュアリーな雰囲気は、銀座らしい上質な隠れ家。銀座の中心でありながら、喧騒を離れたお店で特別な夜を過ごすのにぴったり。蟹の旨みを凝縮した「カニほぐし味噌太もずく和え」や、和牛ヒレの上質さを堪能できるユッケ風サラダに和牛ヒレカツサンドなど、心躍らせる贅沢なメニューばかり。ヒレは口の中でとろけるて旨みたっぷり。また、目の前で仕上げてくれる和牛すき焼きは、ライブ感に、立ち上る香り、濃厚なコクが広がり大満足の逸品。締めには、和牛と蕪菜の羽釜飯を。優しい味付けは、しめにピッタリ。さらに料理と並んで魅力なのが、バーカウンター。豊富に揃えたお酒がずらり。特にウイスキーがかなり種類多かったです！料理に合わせた一杯が楽しめました。食べたもの・八寸前菜盛り合わせ（翡翠茄子、鰹タタキ、銀杏串、地鶏むね山葵）・カニほぐし味噌太もずく和え・和牛ヒレ肉ユッケ風サラダ・和牛ヒレカツサンド　柚子胡椒添え・天草大王の唐揚げ串・和牛すき焼き・和牛と蕪菜の羽釜飯
11月25日オープン✨️大人の隠れ家で和食ディナー,'25/11/27,'25/11,Shoko‪‪❤︎‬グルメ・カフェ巡り,4.0,4.2,3.8,4.2,3.9,4.3,"￥10,000～￥14,999",－,17,銀座駅から徒歩8分ほどにある『別天地 銀座』さんへ行ってきました✨11月25日オープンの新店で、上質な和食料理を楽しめました。大人の隠れ家のような趣ある雰囲気で、デートや接待などにも利用できるお店です。今回は、さまざまな和牛を使ったお料理をいただきましたが、どれもお肉が柔らかくて美味しかったです♡♡黒毛和牛のすき焼きは、目の前で焼いていただきました。お酒の種類も豊富なので、飲み好きさんにはたまらないラインナップだと思いますできたばかりの新店なので、これからメニューも増えそう✨️✔︎︎︎︎ 前菜・カツオのたたき・鶏胸肉・ナスのおひたし・銀杏✔︎︎︎︎カニ味噌✔︎︎︎︎和牛ヒレ肉のユッケ和え✔︎︎︎︎ヒレカツのサンドイッチ✔︎︎︎︎金目鯛の煮付け✔︎︎︎︎すき焼き(黒毛和牛の肩ロースとサーロイン)✔︎︎︎︎土鍋ご飯✔︎︎︎︎紀土 純米大吟醸✔︎︎︎︎特撰梅酒 うぐいすとまり 鶯とろ✔︎︎︎︎98WINEs 霜(SOU)ロゼ
銀座で和牛をたくさん楽しめる,'25/11/26,'25/11,もぐもぐグルメ76933,4.0,4.0,4.0,4.0,3.5,4.0,"￥8,000～￥9,999",－,13,『別天地』東京/ 銀座○————————————○: 東京都中央区銀座7-6-10 アソルティ銀座花椿通りビル 4F☎️:⏰: 月・火・水・木・金・土・日祝日・祝前日・祝後日17:00 - 23:00○————————————○＊雰囲気銀座の喧騒から少し離れたビルの4Fにある、まさに“別天地”な和食店。落ち着いた照明と和モダンな空間で、ゆっくり食事に集中できる大人の雰囲気でした。カウンターもテーブル席もあり、デートでも会食でも使いやすい印象です。＊こんな人におすすめ・雰囲気重視でごはんを楽しみたい人・銀座でちょっと特別感のあるディナーを探している人・和牛やお魚をゆっくり味わいたい人＊料理この日はコースでいただきました。・八寸前菜盛り合わせ季節の小鉢が少しずつ並んでいて、最初からテンション上がります。・蟹味噌もずく蟹の濃厚な旨みともずくのさっぱり感で、お酒が進む一品。・和牛サラダやわらかい和牛が贅沢にのったサラダ。前菜なのに満足度高めです。・和牛ヒレカツサンドサクッと軽い衣にレアめのヒレ肉がジューシーで、これは必食。コースの中でも印象に残る一品でした。・金目鯛の煮付けお皿からはみ出すサイズ感！身はふっくら、甘辛いタレがしっかり染みていて白ごはんが欲しくなる味でした。・和牛すき焼きテーブルで仕上げていただけるスタイル。とろける和牛を卵にくぐらせて頬張る瞬間が幸せそのものです。・和牛と蕪の羽釜飯羽釜で炊き上げるので、お米がつやつや。おこげまで美味しくて、〆まで大満足でした。＊全体を通して一品一品のクオリティが高くて、「銀座でしっかりごはんを食べた」という満足感がしっかり残るお店でした。まだそこまで知られていない穴場感もあって、銀座でお店に迷ったら候補に入れておきたい一軒です。味: ★★★★★雰囲気: ★★★★☆混み具合: ★★★☆☆コスパ: ★★★★☆最後に、ここまでみてくださった皆様ありがとうございます❗️ビッグ感謝です
和モダンに魅力される店は大切な人を連れていきたい,'25/11/26,'25/11,りりか姉さん,3.8,3.8,3.8,3.8,3.8,3.8,"￥10,000～￥14,999",－,28,店内に入ると松の木(多分造花？)が真正面におかれ、和を意識しているのに何故かモダンな雰囲気がある店の色彩感覚に魅力されます。カウンター席、ソファー席、真ん中の一枚板のような雰囲気あるテーブル席とレストランのようなバーのようなとにかく今まで通っていた店と違うな！と思いました。ドリンクはみんながご存じの白州、山崎、知多、そしてあのROKUという日本を代表するジャパニーズウイスキーが揃っている上、鹿児島系の料理やお酒に強いらしく、西酒造の日置ウイスキーのハイボール、桜島みかんのハイボール、知覧茶割りなどもあってドリンク系もかなり面白いと思いました。2人で頼んだドリンクは●桜島みかんのハイボール●特選梅酒うぐいすとまり鶯とろロック●完熟もも酒鳳凰美田ロック●日置ハイボール●ROKUハイボール●栃木の日本酒「仙禽」（せんきん）どれも美味しく、バーカウンターで作ってくるので作っている様も拝見できて素敵な時間が過ぎていきます。料理は以下のとおり。●八寸前菜盛り合わせ翡翠茄子、鰹のたたき、銀杏串、地鶏むね山葵秋の季節感ある一皿。●カニほぐし味噌太もずく和えカニとモズクという組み合わせが初めてだったのだけど入れ物がカニの甲羅という見た目も楽しめる前菜の一種です。●和牛ヒレ肉ユッケ風サラダ盛り付けがきれいでフランス料理っぽいのですがこれは美味しい！と思ったらサラダです。ユッケ風なのでピリッと辛みがあって韓国風。●和牛ヒレカツサンド 柚子胡椒添え私の一番のオススメがこれ！みんなに食べてほしいのがこれ！ふわふわのパンにヒレカツがはさんであって、柚子胡椒をつけていただく。このヒレカツ美味しすぎですし、パンのふわふわが絶品なの。●銘柄鶏・天草大王の唐揚げ唐揚げは串にささってたけど、女性は串から外すので刺さなくてもいいかな？弾力ある肉が美味しくて食べすぎ注意！●和牛すき焼きこれはスタッフが焼いてくれるのだけど、冷麺をいれる器みたいな銀色の鍋を使用してくれます。美しくスライスされた和牛を先に炒めて、野菜や豆腐をいれてタレを。美味しい卵と一緒にからめていただくメイン。●和牛と蕪菜の羽釜飯この店は肉料理が絶対に美味しい店です。
,'25/11/26,'25/11,タベルオタク,4.0,,,,,,"￥10,000～￥14,999",－,14,【11/25 NEW  OPEN‼】和牛を食べつくす、贅沢なお腹いっぱいコース！《 立地・店内 》銀座7丁目にある和牛を楽しみ尽くす、オシャレ日本料理屋さん✨店内はカウンター席と大きいテーブル席、ファミレス席がありオープンなスペース！机には一人一つIHの焼き場があり、ワクワクが止まらない！☺️内装は盆栽があったりとってもオシャレで、デートからカジュアル～畏まり目な飲み会まで幅広く使えそう！今回はオープン前にご招待いただき伺いました✨《 お料理 》今回は「和牛」をとことん楽しみつくす、特別なコースをいただきました！前菜5種銀杏揚げ、鶏むねワサビ、カツオの藁焼き、ナスおひたしの5種類鶏胸肉はとっても柔らかく、ナスのおひたしもつるんつるん♪藁焼きはプリプリでトッピングされているからしとよく合う～！☺️蟹味噌ともずく蟹味噌には身も少し入っていてお得感◎蟹味噌の下にはもずくが入っていてとっても意外な組み合わせ✨もずくは酸っぱくなくちゅるちゅる！和牛のサラダサラダの下には和牛が隠れていてとっても贅沢なサラダ！和風のドレッシングはフレッシュでトロトロな和牛と相性◎和牛のヒレカツサンドふわふわのパンとサクサクな衣、そして柔らかい和牛は毎朝食べたい美味しさ！トッピングには塩と柚子胡椒があり、2度おいしい✨金目鯛の煮付け金目鯛の半身を食べつくすことができる見た目も華やかな一品！身はホロホロで、お酒が進む美味しさ✨すき焼き和牛ロースとヒレの2種類の部位を楽しむことができる、贅沢なすき焼き！なんとスタッフさんが一人ひとり丁寧に目の前で作ってくれます！✨他の食材は白菜、春菊、豆腐、しいたけ！一人ひとり鍋があり、自分のペースで楽しめるので初デートにもおすすめ！☺️ここまででたいぶお腹いっぱいですが、〆はなんと和牛ご飯！おこげもたっぷりでほっと落ち着く一品✨ドリンクはウィスキーからカクテルなど幅広く楽しむことができます！✨特に、ウィスキーの種類は多く、オタクの好きなマッカランもあってテンションが上がりました！
上質の和牛を楽しめるお店です,'25/11/25,'25/11,コシノカゲトラ,4.0,4.0,4.0,4.0,4.0,4.0,"￥10,000～￥14,999",－,19,11/25に銀座にオープンしたばかりのお店です。銀座の中心地にあってロケーションもよく、落ち着いた雰囲気の店内も居心地良いお店です。今回は和牛を美味しくいただけるすき焼きをメインに飲み放題がついたセットをいただきました。まず飲み放題から瓶ビールを注文し、前菜4品（茄子の煮浸し・鰹のタタキ・蒸し地鶏・銀杏串焼き）と共に乾杯しました。続いて蟹のほぐし身を口当たり滑らかなもずくの上に載せた「蟹ほぐしもずく」です。次は和牛のユッケに歯応えの良い野菜を載せた「和牛ユッケ風サラダ」です。後半はお店の名前を冠した「別天地瀬戸内レモンサワー」に切り替えました。これに併せ、牛赤身をレア状態で揚げた牛カツを使った「和牛カツサンド」を塩と柚子胡椒と共にいただきます。更に、珍しい九州の地鶏「天草大王」を使用した鶏唐揚げにレモン汁を搾っていただきました。最後は和牛のすき焼きです。サシがたっぷり入った和牛のリブロースと肩ロースを焼いて牛脂をたっぷり出します。ここに野菜・豆腐・白滝等の具材を入れて割り下を注ぎ、牛脂と野菜の旨味と馴染ませます。最後に焼いた肉を加えてすき焼きの完成です。牛脂の甘味と野菜の旨味が濃口醤油の割り下と相性がよく、溶き卵を絡めて柔らかい味わいを楽しみました。
別天地で味わう贅沢な一皿,'25/11/24,'25/11,マッシゅくん,4.2,4.2,3.5,4.5,4.0,4.5,"￥8,000～￥9,999",－,201,銀座の喧騒から一歩離れた場所に佇む「別天地 銀座」。落ち着きのある和モダンな空間で、一皿ずつ丁寧に仕上げられた料理をゆっくり楽しめるお店でした。最初に運ばれてきた 八寸前菜盛り合わせ は、まさに季節の小景を切り取ったような美しい盛り付け。翡翠茄子は涼やかで上品な味わい、鰹タタキは香ばしく程よい脂、銀杏串はほくっとした秋の香りが広がります。地鶏むね山葵はしっとり食感で、鼻に抜ける山葵の爽やかさが心地よいアクセント。続く カニほぐし味噌太もずく和え は、濃厚な蟹味噌の旨味ともずくのさっぱり感が絶妙に重なる一品。少量ながら記憶に残る味でした。サラダは 和牛ランプ肉ユッケ風サラダ／ヒレ肉に変更 を選択。ヒレ肉に変えたことで、さらに上品な甘みと柔らかさが際立ち、卵黄と香味野菜が肉の旨味を一段と引き立てます。さらに心が躍ったのは 和牛ヒレカツサンド 柚子胡椒添え。衣は軽く、中心はレア気味の美しい火入れ。柚子胡椒で香りを立たせると、脂の甘さがより際立ち、贅沢ながら重すぎない味わいでした銘柄鶏・天草大王の唐揚げは噛むほどに旨味が溢れ、皮目の香ばしさと肉の弾力が見事。串で軽やかに食べられるのも良いポイント。そしてメインは 和牛すき焼き。割下は甘すぎず上品で、肉の質の良さが素直に楽しめる味付け。濃厚な卵にくぐらせると、一気に至福の時間が訪れます。締めは 和牛と蕪菜の羽釜飯。ふわっと立つ湯気とともに広がる香りに思わず笑みがこぼれ、蕪菜の優しい苦味と牛の旨味がご飯にしっかり染みて、最後まで丁寧な美味しさでした。銀座で落ち着いた和の食事を楽しみたい夜に、ぜひおすすめしたい一軒です。
和モダン空間で現実逃避?! すき焼きから土鍋ご飯に楽しむ贅沢和牛尽くし,'25/11/24,'25/11,RyeAnone,4.1,4.1,4.0,4.2,4.0,4.2,"￥8,000～￥9,999",－,13,11月25日グランドオープンした「別天地 銀座」は、銀座駅から徒歩8分とは思えない“明日のための現実逃避”という世界観がしっかり体現されたモダンな和空間でした。店内には盆栽や縄暖簾が飾られ、そしてBGMも和…落ち着きつつも非日常感のある雰囲気に包まれます。八寸の前菜盛り合わせは、翡翠茄子の清涼感や山わさびをまとった地鶏のキレ、銀杏の香ばしさがそれぞれ存在感を放っていました。カニほぐし味噌太もずく和えは、カニ味噌とコシの強い太もずくが良く合い、いい酒の肴でした。和牛ヒレ肉ユッケ風サラダは、下に潜む肉のまろやかさを野菜の苦味が引き締めてくれます。和牛ヒレカツサンドは、そのままでも美味しいですが、柚子胡椒を添えると和牛の甘みにピリッとした刺激が加わり、一気に和の味わいに。天草大王の唐揚げ串は…他の料理が印象的な分、存在感は控えめ。メインの和牛のすき焼きはスタッフの方が目の前で仕上げてくださり、臨場感がグッド。濃いめの味付けで野菜や豆腐も入り、見た目異常に満足感は高め。締めの和牛と蕪菜の羽釜飯は香ばしいおこげがたっぷりで、和牛と蕪の優しい風味が合わさり〆となりました。正直オープンしたてなのでオペレーションなどには改良の余地はありそうですが、懸命な対応は感じられます。また全体的な演出として海外ウケしそうな予感がしました。
