No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
27,お金がない！銀行に借りよう！が一番失敗します（貸してくれへん）,「お金がないから銀行に借りよう」って思ってるなら、その考えが一番危ないです。,「なんとかせなアカン…せや、融資受けよう！」って、藁にもすがる思いですよね。,お店の夢とか熱意を一生懸命語って、なんとか貸してもらおうとしてませんか？,それ、銀行員さんには全然響いてないですよ。,このままだと「返せる見込みがないですね」って一言で終わって、資金ショート待ったなしです。,「ウチの店には可能性があるのに、なんで分かってくれへんのや」って思ってません？,資金繰りの不安で夜も眠れへん気持ち、めっちゃ分かります。ほんましんどいですよね。,でも心のどこかで、数字で説明するのを避けてきた自分もいませんか？,その気持ちは痛いほど分かるけど、銀行は友達やないんです。ビジネスの話をせなアカン。,このあと、銀行が「この人になら貸したい」って思う、たった3つのポイントを話します。,「夢を語る人」と「数字で未来を語れる人」、貸したいのはどっちか一瞬で分かりますよね。,銀行は投資家なんです。「このお金で新しいオーブン買ったら、売上これだけ上がって、毎月これだけ返せます」っていう設計図を見せなあかんのです。,融資の条件は「熱意」でも「夢」でもありません。「返せる証明」だけです。,大事なのは3つ。「返済原資の数字」「利益に変わるお金の使い道」「今までの管理実績」です。,最低限、これだけは即答できるようにしといてください。「営業利益」「人件費率・原価率」「毎月の返済可能額」。,数字と向き合うのって怖いかもしれんけど、それがお店を守る一番の武器になるんです。,感情論で戦わんといてください。まずは自店の数字を把握することから始めましょ。,世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない;バイトの意識が劇変する現場研修のやり方とは;ロードサイド型店舗の生き残り戦略;カット済みの納品（肉・野菜）→歩留や人件費;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など
28,アルコールを売ろうとしてるのは時代遅れです,まだお酒で儲けようとしてる店、正直ヤバいですよ。,「最近、若い子全然飲まへんなぁ…」って、ただ嘆いてませんか？,とりあえず飲み放題つけとけば安心、みたいに昔のやり方に頼ってません？,それ、一番お客さんを逃してるやり方です。,このままやと「飲める人しか来れない店」になって、気づいたら客足が遠のいてますよ。,正直、「ノンアルなんてジュースとウーロン茶で十分やろ」って、心のどこかで思ってません？,そらね、アルコールの利益率が高いのは僕も痛いほどわかります。,でも、飲まれへんお客さんは「ソフトドリンクばっかり頼んで申し訳ないな…」って気ぃ遣ってるんです。,その気持ちはわかるけど、時代はもう変わってるんです。その考えがお店の可能性を狭めてます。,今日は、お酒を売らんでも客単価を上げて、しかもお客さんにめちゃくちゃ喜ばれる店の作り方を話します。,お酒に頼る店は客層が狭まる一方。でも飲まない人が楽しめる店は、新しいファンがどんどん増えていきます。,言うたら、夜のカフェみたいに「居心地」を売るんです。コーヒー1杯でゆっくりできる店、強いでしょ？,結論、ノンアルを「代替品」やなくて「主役候補」に格上げするんです。「飲まなくても大歓迎！」ってメッセージを明確に伝えましょう。,例えば、見た目も華やかな自家製ノンアルカクテルを用意したり、食事とのペアリングを提案したり。「飲まない時間」の価値を上げるんです。,まずは今のメニューを見直して、季節のフルーツを使ったソーダとか、こだわりの一杯を開発してみてください。それだけで店の印象はガラッと変わります。,「ここなら飲めへん私でも楽しめる！」ってお客さんの嬉しそうな顔、見たくないですか？,あなたのお店、飲まない人が楽しめる設計になってますか？これからはお酒を売る店やなく、居心地を売る店が残ります。,アルコール出ない問題;財務三表の説明;飲食店経営は“戦時”と“平時”を分けて考えろ;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;人が辞めないチームの作り方　給与より信じたくなる空気があるか
29,店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,店長のその熱量、逆にスタッフが辞めてく原因になってますよ。,「俺はこんなに頑張ってんのに…」って、周りとの温度差にしんどくなってません？,「もっと店のこと考えて！」とか、つい朝礼で熱く語ってしまってません？,それ、一番やったらアカンやつです。,このままやと、意識高いええ子から辞めてって、やる気ないスタッフだけが残る店になります。,最近、スタッフの返事はええけど、なんか目が死んでるな…って感じることありません？,店を良くしたいだけやのに、なんで想いが伝わらんのやろって、もどかしいですよね。,ほんまは、みんなで同じ方向向いて、ええ店にしたいだけやのに。,その気持ちは本物。でも伝え方が感情論だけやと、人は動きません。,このあと、あなたの熱量を「空回り」させず、チームを動かす「会話の軸」について話します。,「パッション」で引っ張る店と、「ロジック」で動くチーム。成長するのは後者です。,店長の想いって、火みたいなもん。どこに燃え移るか設計せんと、ただただ燃え尽きるだけなんです。,結論、店長が熱く語れば語るほど、人は離れていきます。,これからは、①目的、②数字、③判断基準。この3つだけで会話してください。,「頑張ろう」やなくて、「売上目標まであと5万やから、客単価300円上げるために、このセットをおすすめしよう」って伝えるんです。,なんで頑張るんか分かった瞬間、スタッフの目の色ってほんまに変わりますよ。,創業期はパッションでええ時もある。でも組織にするなら、言葉を切り替えるべきです。,SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;飲食店の店舗アカウントのプロフィール;チェーン店に勝つ方法
30,ラストオーダー30分前、めちゃくちゃ嫌な顔されました,ラストオーダー30分前、嫌な顔する店、もう終わりです。,「もうすぐ閉まるのに…」って、つい心の声が漏れてません？,ドリンク1杯だけのお客様に、あからさまにがっかりした態度とったり。,それ、一番やったらあかんやつです。,その一瞬の態度で、未来のお客様を一人、永遠に失ってますよ。,閉店間際は単価低いし、正直割に合わへんって、どっかで思ってません？,はよ帰りたいし、片付けも進めたい。その気持ち、めっちゃ分かります。,でもほんまは、「どんな時間でも最高の体験を」って思ってたはずやのに…。,その気持ちは大事。でも、その日の最後の接客が、店の評価を全部決めとるんです。,このあと話すのは、閉店間際のお客様が、実は一番のファンになるかもしれへん理由です。,嫌な顔する店は「機会損失」、神対応する店は「未来への投資」。,映画のラスト10分で台無しになる作品、誰もええ評価せんでしょ？お店も一緒ですわ。,結論、閉店間際の接客こそ、その店の本性が全部出ます。,大事なんは3つ。「歓迎の言葉」「メニュー制限の丁寧な説明」「感謝の言葉」です。,「ありがとうございます！ラストオーダーですけど、ゆっくりしてくださいね」この一言があるかないかです。,しんどい時間帯やからこそ、その丁寧な一言がお客様の心にめちゃくちゃ響くんです。,営業時間は、最後の1秒まで同じ価値。これを忘れたらあきません。,予約ゼロ→満席に変えた価格の順番　値下げより設計が先;試食の仕方　ワンポーション食わんかい;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;スタッフが辞めるのは、給料のせいだけじゃない;問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など
31,厨房面積比率,厨房の広さ、なんとなくで決めてませんか？それ、開業した瞬間から利益が出ない構造が完成してるかもしれませんよ。,「厨房は広い方が作業しやすいに決まってるやん」って、思いますよね。,最新の機材も入れたいし、スタッフがすれ違えるくらいのスペースも欲しい。夢、膨らみますわな。,でもその理想の厨房、店の利益を食いつぶす原因になってるかもしれへんのです。,広すぎる厨房のせいで客席が３つ減る。満席でも売上の天井が低なって、気づいた時にはもう壁は壊されへんのです。,「なんかウチ、席数のわりに利益残らへんな…」って、心のどこかで感じてませんか？,もっと効率よく回したいのに、なぜかいつもバタバタしてる。その原因、厨房の広さかもしれへんのです。,逆に「厨房が狭すぎて料理出すのが間に合わん！」って、チャンスを逃してるお店もめっちゃ多いんです。,気持ちは痛いほどわかるんですけど、その“感覚”で決めた広さが、店の寿命を静かに縮めてるんですわ。,実は厨房の面積比率って、どんな料理を作るかやなくて、どんな“オペレーション”を組むかから逆算せなあかんのです。,厨房が広すぎると席数が減って売上の上限が下がる。狭すぎるとオペが詰まって人件費が跳ね上がる。どっちも地獄です。,厨房の面積って、お店のエンジンの大きさみたいなもん。店の規模に合ってへんと、うまく走られへんのです。,答えは業態ごとに黄金比があります。あなたの店の理想の厨房面積比率、知ってますか？,一般的な飲食店なら30〜40%。オペが軽いカフェとかなら25%。逆に仕込みが重い専門店なら40%が目安です。,まず自分の店のオペレーションを全部書き出して、誰がどこで何秒動くか。そこから必要な面積を割り出すんです。,この設計一つで、毎日のスタッフの疲労度も、月末の利益も、ほんまにガラッと変わるんですよ。,厨房の広さは、売上の天井と人件費率を同時に決める最重要ポイント。一度、自分の店の図面、見直してみてください。,集客の相談より「人」に関する問い合わせが一番多い;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;アルコール出ない問題;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;家族経営の強み
32,賄いは課税対象,無料で賄い出してたら、税務調査でガッツリ突っ込まれますよ。,「え、賄いが給料扱い？なんで？」って、正直ピンとこないですよね。,「スタッフのためやし」って、良かれと思って全額タダにしてません？,それ、一番やったらあかんやり方です。,後からまとめて追徴課税くらって、何十万も払うことになったお店、ほんまにありますからね。,「今まで何も言われてへんし大丈夫やろ…」って、心のどこかで思ってません？,スタッフに美味しいもん食べさせたいって気持ち、めっちゃ分かります。僕もそうでした。,でもその「善意」が、知らんうちに「脱税」になってるかもしれへんのです。,僕も昔は知らんくて、税理士さんに怒られました。知らんでは済まされへんのです。,今日は、税務署に睨まれへんための、正しい賄いのルールをきっちり解説します。,これを知ってるかどうかで、数年後に払う税金が何十万も変わる可能性があります。,賄いってお店からのプレゼントみたいやけど、税法上は給料の一部っていう別の顔があるんです。,賄いを非課税にするには、クリアせなあかん条件が２つあります。,"まず、スタッフが食事代の半分以上を負担してること。そして、お店の負担額が月3,500円以下であること。",この２つを両方満たさんとアカンので、給与から天引きする仕組みを作るのが一番確実です。,「めんどくさいな…」って思うかもしれんけど、これが後々お店を守ることになるんです。,賄いは善意やなくてルールです。忘れてえらいことにならんように、この動画、保存しといてください。,スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;飲食店は立地で決まる？;飲食店経営は“戦時”と“平時”を分けて考えろ;人時売上高;始めるより、撤退が上手い店が勝つ
33,法人or個人,法人か個人かで迷う人の9割は、最大の違いを見れてないです。,売上上がってきたし、そろそろ法人化せなアカンかな…って悩んでません？,税金対策やし、なんとなく法人にしとこか…みたいに軽く考えてませんか？,それ、めっちゃ危ない考え方ですよ。,知らんと法人化して、社会保険料とか固定費で首が回らんようになってる店、ほんまに多いんです。,利益は出てるはずやのに、なんでか手元にお金が残らん…って感じてません？,どっちが得なんか、税理士さんに聞いても専門用語ばっかで結局ようわからん…ってなりますよね。,もっとシンプルに、どっちが自分のお店にとってベストなんか知りたいだけやのに…。,その気持ち、めっちゃわかります。でも、この違いを知らんままやと一生損し続けますよ。,今日は『法人と個人のたった一つの決定的な違い』と、あなたがどっちを選ぶべきかの判断基準をズバッと言いますわ。,個人の身軽さと、法人の設計力。このメリット・デメリットを比べたら一発でわかります。,個人事業主は身軽な軽トラ、法人は設備が整ったトラックみたいなもん。運べる量もルールも全然違うんです。,結論、個人事業主の最大のメリットは、何よりも固定コストがほぼ無い身軽さです。,逆にデメリットは利益が全部『自分の所得』になること。法人のメリットはお金を『分けて設計できる』こと、デメリットは固定コストから逃げられへんことです。,もし今、利益がしっかり出てて節税も考えたいなら、それは法人化を考えるサインです。,頑張って稼いでるのに、なぜか手元にお金が残らず苦しい…その原因、個人のままやからかもしれへんで。,稼ぐフェーズに入ったら、法人化は絶対視野に入れてください。この話、忘れたくない人は保存しとき。,立地選び　一等地信仰が危ない理由;ロードサイド型店舗の生き残り戦略;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;エリアリサーチ　主導線と副動線;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）
34,人時売上高,その人時売上高、高いからって喜んでたらアカンで。,数字が良いと、なんか効率よく経営できてる気になりますよね。,「もっと人減らして効率上げな！」って、ついスタッフに無理させてませんか？,それ、めっちゃ危険なサインです。,無理させすぎた結果、ええスタッフが辞めて店の評判もガタ落ち…気づいたら誰も来んようなりますよ。,「数字はええのに、なんで現場はこんなに回ってへんのやろ」って、内心モヤモヤしてませんか？,売上も大事やし、人件費も抑えたい…その気持ち、痛いほど分かります。,でも本音は、スタッフに無理させんと、ちゃんと利益も出したいんですよね。,その気持ちは大事やけど、今の数字の見方やと、どっちも叶いません。,このあと、お店が潰れる「高すぎる人時売上高」と、利益が出ない「低すぎる人時売上高」の罠について解説します。,高すぎるのは未来の前借り、低すぎるのはただの忙しい貧乏です。,1人で店回して売上5万上げるのは、一見すごいけど、その1人が倒れたら売上ゼロになるのと一緒ですわ。,目指すべきは「健全な人時売上高」。これ一択です。,まず、人時売上高は「売上 ÷ 総労働時間」で出します。この計算式、ちゃんと使ってますか？,適正な数字は業態でちゃうけど、まずは自店の過去の数字と比べて、サービスが落ちてないかチェックしてください。,数字だけを追いかける経営は、一番大事な「人」を失います。,人時売上高は店の健康診断。高すぎても低すぎてもアカン。健全な数字だけが正義です。,飲食店がキッチンカー参入で儲からない理由;求人が来ない理由とブランドイメージの関連性;始めるより、撤退が上手い店が勝つ;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;Google口コミ＝QSC＋店舗内研修
35,事務作業やってたらライバル店に置いていかれる,売上を伸ばしてるお店ほど、現場でパソコン開いてません。,請求書の処理、給与計算…気づいたら一日終わってません？,「あとで現場見るから」が口癖で、結局事務所にこもりっぱなし。,それ、社長の仕事ちゃいますよ。,社長が数字とにらめっこしてる間に、現場の空気はどんどん悪なって、お客さんも静かに離れていきます。,「自分でやった方が早いし確実や」って、心のどこかで思ってません？,わかります。大事な店の数字やから、人に任せるの不安ですよね。,でも本音は「もっとメニュー開発とか、スタッフとの会話に時間使いたい」んちゃいます？,その気持ち、大事やけど、社長がプレイヤーのままやったら店は成長せえへんのです。,このあと、社長が『やるべき仕事』と『やらんでええ仕事』をはっきりさせる方法、お伝えしますね。,事務作業に追われる店と、現場の改善に集中できる店。どっちが伸びるか、もうわかりますよね。,最高の料理人が、ずっと皿洗いしてるようなもんですよ。もったいないと思いません？,勝つ飲食店は、社長が『現場』と『判断』にだけ集中してます。,請求書処理、給与計算、シフト管理。利益を直接生まへん作業は、全部外注です。,まずは1ヶ月、自分がやってる事務作業を全部書き出してみてください。そのほとんどは、他の人でもできますから。,手放すのは勇気がいるけど、その先にしかお店の成長はないんです。,事務作業はコストの話やない。経営スピードの話です。社長にしかできん仕事、もっとやりましょう。,撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;売上が下がったときは割引じゃなく販路を増やせ;カット済みの納品（肉・野菜）→歩留や人件費;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;今もコロナ前と同じやり方してる店　変わらないことがリスク
36,税理士さんから去年の決算書そろそろ届きました？,税理士さんから決算書届いて、売上だけ見て満足してたら、それ経営者失格ですよ。,「え、売上上がってたらええんちゃうの？」って思いますよね。,難しい数字がズラッと並んでて、税理士さんの説明も右から左へ…すぐ棚にしまってません？,それ、一番やったらあかんことです。,売上は上がってるのに現金が減ってて、気づいた時には資金ショート…なんてことになりかねませんよ。,正直、「数字は税理士さんに任せてるから大丈夫」って、心のどこかで思ってません？,毎日現場で忙しいのに、分厚い書類なんか見てられへんわ！って気持ち、めっちゃ分かります。,ほんまは「ちゃんと見なあかん」って分かってるけど、どこから手つけてええか分からんのですよね。,その気持ち、痛いほど分かります。でも、経営者が数字から逃げたら、誰がお店の舵取るんですか。,大丈夫です。今日は会計の知識ゼロでも分かる「決算書の最低限見るべき３つのポイント」だけお伝えします。,売上だけ見るのは「体重だけ気にするダイエット」と一緒。体脂肪率を見んと健康かどうかは分からへんです。,決算書って、お店の「健康診断の結果」なんです。「去年より血圧上がってますね」みたいに、去年と比較せんと意味ないんですよ。,難しいことは全部忘れてください。最低限、この３つだけ見るクセをつけるんです。,まず「営業利益」は増えたか。次に「人件費と原価率」は去年より上がってないか。最後に一番大事な「現金」は増えてるか。,去年の決算書と今年のやつを並べて、この３つの数字に「増えたか」「減ったか」で○×つけるだけ。まずはそれで十分です。,これやるだけで、「なんで今月しんどいんやろ」の理由が数字で見えてきて、めっちゃスッキリしますよ。,決算書は難しい書類やなくて経営の通知表です。読めへん人に、経営が上手くなる未来はありません。,人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;無借金経営のデメリット;飲食店経営は“戦時”と“平時”を分けて考えろ;POSレジの紹介;SNSなんて正直めんどい　でも伝える努力をやめへん理由
37,厳しい話ですが、アルバイトはお金目的です,厳しい話ですが、アルバイトはお金目的で働きに来てます。,「うちの店はやりがいがあるから」って、心のどこかで思ってません？,時給以上の働きを期待して、熱意とかやる気とか求めすぎてませんか？,それ、残念ながら一方通行です。,スタッフは「なんかちゃうな」って静かに辞めていって、結局また求人広告費がかさむだけです。,「給料はちゃんと払ってるのに、なんで伝わらんのやろ」って、もどかしい気持ちになりますよね。,お店を良くしたいっていうその熱い気持ちは、ほんまに大事なんです。,でも本音は、お金だけじゃなくて、お店のこと好きになってほしいんですよね？,その気持ち、ようわかります。でも、順番がちゃうかもしれへんのです。,このあと、スタッフのやる気スイッチがどこにあるか、その本当の場所を教えますね。,お金は「やる気」のガソリンやなくて、エンジンをかけるための「鍵」みたいなもんなんです。,どんなに美味しいまかないを出しても、そもそもお腹が空いてへんかったら響かへんのと一緒ですわ。,マネジメントで失敗する理由は、お金（衛生要因）とやりがい（満足要因）をごっちゃにしてるからです。,まずはお金の不満をゼロにする。これがスタートラインです。やりがいの話はその後。,衛生要因を満たしたら、次は何を頑張れば評価されるか基準を明確にして、裁量を渡して、ちゃんと褒めてあげるんです。,彼らが欲しいのは、お金の次に来る「自分が必要とされてる」っていう実感なんです。,明日、バイトの子にこう聞いてみてください。「この店で、何を頑張れば評価されると思う？」って。即答できひんかったら、危険信号ですよ。,今もコロナ前と同じやり方してる店　変わらないことがリスク;SNSなんて正直めんどい　でも伝える努力をやめへん理由;バイトの意識が劇変する現場研修のやり方とは;ゾーニング;加工品を賢く取り入れる
38,交差原価,あなたのお店のメニュー、お客様から「つまらん」って思われる構成になってるかもですよ。,「原価率30%超えたらアカン」って、必死でメニュー絞ったりしてませんか？,看板メニューやのに「原価が高いから…」って、こっそりメニューから外したり、値上げしたり。,でもそれ、お店の魅力まで一緒に削ってるだけかもしれへんのです。,利益は出るけど特徴のない店になって、結局お客さんが離れていく…一番怖いパターンですわ。,「ちゃんと原価管理してるはずやのに、なんでかパッとせえへん…」って、実は悩んでません？,僕も昔、単品の原価率ばっかり見て、頭抱えてた時期がありました。気持ち、ようわかります。,ほんまは「お客さんが喜ぶ顔が見たい」のに、「利益も出さな…」って、しんどいですよね。,その気持ちは大事。でも、単品の数字だけ見てたら、いつまでたってもその悩みからは抜け出せへんのです。,今日は、原価が高いメニューを「店の武器」に変える、『交差原価』っていう考え方をお伝えしますね。,単品の原価率だけ見るのは「点の経営」。メニュー全体で見るのが「線の経営」なんです。,サッカーチームと一緒で、点取るエースだけやなくて、お客さんを呼ぶための名物パサーも必要でしょ？,見るべきは「交差原価」。これだけです。,やり方は簡単。「単品の原価率」に、「それがどれだけ売れてるかの割合」を掛け合わせるだけなんです。,これで「集客してくれるメニュー」と「しっかり利益を残すメニュー」がハッキリわかるようになります。,「このメニュー、好きやけど原価が…」って悩んでたのが、自信持って看板にできるようになりますよ。,原価が高いからってすぐ消すんは早計です。メニューに役割を持たせて、賢く儲けましょ。,スタッフが辞めない育成、実は評価制度より先にやるべきことがある;予約ゼロ→満席に変えた価格の順番　値下げより設計が先;竹矢匠吾が思う飲食店経営のやりがい;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;POSレジの紹介
39,計画しなさすぎ（PL）→コメントで無料面談,飲食店開業でPL考えてない人、それもう負け戦決まってますよ。,なんとかなるやろって、夢と勢いだけで突っ走ってませんか？,「とりあえず開業してから考えよう」って、一番あかんやつです。,飲食はビジネスなんで、それじゃ生き残れません。,オープン景気が終わった瞬間、売上と利益の計算が合わんくなって、気づいたら借金だけが残ります。,正直、PLって言われても何から手つけてええかわからん…ってなってません？,僕も最初はそうでした。数字の話って、なんか難しそうやし後回しにしたなりますよね。,ほんまは「自分のやりたい店」のイメージだけで、細かい計算はしたくないんですよね。,その気持ちめっちゃわかります。でも、その夢を守るためにこそ計画が必要なんです。,このあと、勢いだけで始められるけど計画なしでは生き残れない理由と、失敗しないためのPLの描き方を具体的に説明します。,PLがある店は「地図」を持って航海する船。ない店は「羅針盤」なしで大海原に出るようなもんです。,月商、原価、人件費、家賃…この数字から逆算せんと、席数も単価も営業時間も全部決められへんのです。,結論、飲食店は開業前にPLが描けてるかどうかで、ほぼ勝負が決まります。,まず決めるのはこの4つ。「月商はいくらか」「原価と人件費は何%か」「固定費はいくらか」そして「いくら残したいか」です。,そこから逆算して、席数、客単価、営業時間、必要なスタッフの人数が全部自動で決まります。,もし今、計画段階やったら、一番軌道修正しやすい最高のタイミングですよ。,これから開業、または計画中の方限定でPL計画の無料面談します。希望する方はコメントください。,最強の戦略は凡事徹底;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;地域密着型店舗の落とし穴;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;スタッフが辞めるのは、給料のせいだけじゃない
40,365日なにがあっても上げ続けられますか？（ショート動画）,365日、何があっても上げ続けられへんのなら、SNS集客はやらん方がマシです。,「毎日投稿なんて正直しんどい…」って思ってますよね？,「時間がある時に」「ネタが浮かんだら」って、ついつい後回しにしてまう。,そのスタンス、集客には1ミリも繋がりません。,たまに頑張って投稿しても誰にも見られへんまま、SNS疲れで終わってしまいますよ。,「センスないし、バズる動画なんて作られへん」って、最初から諦めてません？,本業が忙しい中で、動画編集までする時間なんてないのも分かります。,ほんまは、反応がなかったら心が折れそうになるのが怖いんですよね。,気持ちはめっちゃ分かります。でも、SNSは継続がすべてなんです。,このあと、センスがなくても毎日投稿できる「仕組み」の作り方を話します。,1本の神投稿を狙うより、100本の普通の投稿の方が絶対効きます。,お店の「日替わりランチ」みたいに、毎日ちょっとずつ違う顔を見せるだけでええんです。,SNS集客はセンスの勝負やない。続けられるかどうかの勝負です。,大事なのは3つ。「完璧を狙わん」「バズを求めん」「投稿回数を最優先する」こと。,スマホで撮って、簡単なテロップ入れるだけ。1日15分で終わらせるルールを作りましょ。,誰かの反応のためやない。未来のお客様に「お店の存在」を届け続けるためなんです。,SNSはマラソンです。毎日コツコツ、発信を止めんことだけ考えましょ。,マクドナルドから真似すべき戦法;人気店は「やりたくないこと」も決めてる;カット済みの納品（肉・野菜）→歩留や人件費;今もコロナ前と同じやり方してる店　変わらないことがリスク;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方
41,社長の仕事は意思決定,社長の仕事は現場作業ちゃいますよ。意思決定です。,「毎日汗水たらしてんのに、なんで売上伸びひんのやろ…」って思ってませんか？,人手不足やからって、自分が一番キッチンに立って、ホールを走り回る。,でも、それ社長の仕事とちゃいます。,社長が現場に縛られてる間にライバル店は新しい戦略考えて、気づいた頃にはもう手遅れになってますよ。,「自分が一番店のことを分かってるし、抜けるなんて無理や」って心のどこかで思ってますよね？,頑張ってるのに報われへんのは、ほんまにしんどい。努力不足やないんです。,ほんまはもっと店を大きくしたいのに、日々の作業に追われて未来を考える余裕がないだけなんですわ。,その気持ちめっちゃ分かります。でも、社長が現場にいる時間が長いほど、会社は今の現状から抜け出せません。,飲食店の社長がほんまにやるべき仕事って何か、考えたことありますか？一瞬の判断の遅れが致命傷になるんです。,現場を回す社長は「今日の売上」を作ります。でも、意思決定する社長は「未来の売上」を作るんです。,船長が自ら船を漕いでたら、どっちに進むか誰も決められへんのと同じですわ。,社長がやるべき仕事はたった2つ。「判断」と「優先順位付け」だけです。,具体的には「何に投資するか」「何をやめるか」「誰に任せるか」。この3つを決めることです。,明日からまず30分だけ現場を離れて、この3つについて考える時間を作ってください。,頑張ってるのに伸びひんのは、あなたの能力不足やなくて、役割を取り違えてただけなんです。,現場を回す社長は、会社を止めます。まずは明日、何をやめるか一つ決めてみてください。,人が辞めないチームの作り方　給与より信じたくなる空気があるか;オーナーしか作れない属人料理;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;一見客で回す飲食はいつか潰れる;歩留計算の仕方
42,ペルソナが決まってなかったら開業時に大失敗します（メニュー開発、写真、皿などのコスト）,ペルソナ決めんと開業したら、200万はドブに捨てることになりますよ。,「ええもん作ったら誰か来てくれるやろ…」って、まだ思てません？,「あれもこれも」って、誰にでもウケそうなメニュー、とりあえず増やしてません？,それ、一番あかんやつです。,結局、メニューも写真も皿も全部チグハグ。誰にも刺さらん店になって、気づいたらお金だけ消えてますよ。,「誰に来てほしい？」って聞かれても、「うーん、みんな…」って、答えに詰まってません？,色んな人に来てほしいって気持ち、めっちゃ分かります。僕もそうでした。,でもほんまは、「誰に」を決めなあかんって、もう薄々気づいてますよね？,その「誰か」を決めへん限り、メニューも皿も、全部ムダな投資になるだけです。,このあと話すのは、ペルソナがマーケティングやなくて、実は“最強のコスト削減術”やっていう話です。,ペルソナが曖昧やとメニューが増える。決まってれば、売るもんが絞れる。この差、デカいですよ。,ペルソナなしの開業って、目的の駅を決めんと新幹線に乗るようなもん。どこ着くか分からんし、運賃だけかかります。,結論、ペルソナはマーケの話だけやない。コスト管理の話なんです。,ペルソナが決まれば、売る品数、撮るべき写真、揃える皿の数・素材まで全部決まります。,つまり、「誰に」を先に決めるだけで、メニュー開発費、撮影費、食器代…全部のコストが勝手に落ちるんです。,「この店は誰のための店なんやろ…」って、オープンしてから悩むの、一番しんどいですよ。,計画性のない開業は、必ず高くつきます。「この店は、誰のどんなシーンを取りにいくんか」もう一回考えてみてください。,アルバイトの定着;人時売上高;アルコール出ない問題;スタッフが辞めるのは、給料のせいだけじゃない;飲食店は立地で決まる？
43,取引業者や営業に対して高圧的な態度取ってる経営者は会社の成長止めてますよ,取引業者さんや営業さんに高圧的な態度とってませんか？それ、実はめちゃくちゃ損してるんですよ。,「安くしろ」「早くしろ」って、つい言っちゃってませんか？,「こっちが客やぞ」みたいな態度で、無理な要求をしたりとか。,それ、絶対やめたほうがええです。,その態度、ええ情報も新しい提案も全部シャットアウトして、結局は自分の首を絞めてるだけなんですわ。,業者さんとの関係って、ただの取引先って思ってません？,もっと安くてええもんないかな、もっとええ条件ないかなって、常に探してるんですよね。,でも、その偉そうな態度が、ええ話が舞い込んでくるチャンスを全部潰してるんです。,気持ちは分かりますけど、そのやり方じゃお店は成長しませんよ。,この後、業者さんが「この人のために頑張りたい」って思ってくれる、たった一つのコツを教えます。,横柄な店主には最低限の情報しか来ない。でも、丁寧な店主には「こんなんどうです？」って特別な提案が来るんです。,業者さんは、ええ食材とかお得な情報をたくさん持ってる宝箱みたいなもん。それを開ける鍵は、こっちの態度次第なんですわ。,結論、業者さんを「パートナー」として扱うことです。,ポイントは3つ。「ありがとう」を忘れないこと、無理な値引きを強要しないこと、そして相手の仕事に敬意を払うこと。,まずは電話口で「いつもありがとうございます」って一言添えるだけでええ。それだけで相手の印象、全然変わりますから。,「この人と仕事してて良かった」って思われたら、自然とええ情報が集まってくるもんですよ。,外部への態度は、会社の文化そのもの。ええ関係を築いて、お店を強くしていきましょ。,始めるより、撤退が上手い店が勝つ;オーナーしか作れない属人料理;限界利益;アルコール出ない問題;集客の相談より「人」に関する問い合わせが一番多い
