ネタメモ：ゾーニング,,
シーン,①セリフを考える（ライティング）,
1,今から店出す人、主導線と副動線、違い知らんとヤバいで,
2,人通り多いとこ＝ええ立地って思い込んでません？,
3,実はその道ただの通勤通学の通り道かもしれません,
4,つまり寄り道されへん道なんです,
5,そのまま出店したらお客様は素通りで家賃だけはきっちり出ていきますよ,
6,"メインの通りから歩幅で5m以内なら寄るけど
15m超えたら「もうええわ」ってなるのが人の心理です
そもそも通る目的が違う道ちゃんと見極めてます？",
7,実際に人通りだけで決めて潰れたお店たくさん見てきました,
8,立地＝人通りの数って思い込み、ほんまに多いです,
9,出す前に動線の目的見てたら助かったはずのお店めっちゃあります,
10,"このリールでは立地を人通りで選ぶ危険性と
ほんまに見るべき動線の見極め方が学べます",
11,"知らんまま出すと立地ミスで地獄
知ったら回遊率で勝てるようになります",
12,通勤路にお店出すのは、波に向かってボート漕ぐようなもんなんです,
13,飲食店って寄れる道に出すのがほんまの勝ち方なんです,
14,男性70cm・女性65cmの歩幅で副導線にお店を出す場合の目安は主導線から5〜10m圏内にあるとお客様の足は止まります,
15,他にも昼ピークエリアの近辺にあるコンビニはレジが３つ以上なども目印です,
16,"店の場所って家賃より動線
そこ読み違えたら全部狂うんです",
17,"道の目的ちゃんと見てますか？
それが出店にとってはすべての始まりです",
,,
ネタメモ：新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる,,
シーン,①セリフを考える（ライティング）,
1,「なんでできへんねん」って言う前にその指導窮屈すぎませんか？,
2,言った通りにやれ”が、成長を止めてるって気づいてます？,
3,「お前のため」の教育って、実は“自分の安心”のためになってませんか？,
4,若手は、正解より“自分の失敗”でしか育たんのです,
5,このままやと、“指示がないと動けない人間”しか育ちませんよ,
6,"失敗されると困る”って思ってません？
それ、育成やなくてコントロールなんです",
7,“育ててる”つもりで潰してる例、現場で山ほど見てきました,
8,教え込む”教育ほど、若手の思考力を奪うんです,
9,ほんまは“答え待ち人間”に育ててるだけやのに、気づいてないだけです,
10,ちゃんと教えてるのに育たん理由”、とことん言語化します,
11,この考え方を知らんままやと、“人材が育たん店”で一生悩むことになります,
12,育成って、“答えを教えること”じゃなくて、“考える場を与えること”なんです,
13,育つ組織って、“教える”より“問いかけてる”んです,
14,この時どう思った？”“自分やったらどう動く？”って聞くだけで、若手の脳は動き出します,
15,自分で考えて動いた経験が、“もう一歩踏み込める人材”を育てるんです,
16,教え込む教育”に限界を感じてるなら、今日から“聞く側”に回ってみてください,
17,聞く勇気”が、育つ職場のはじまりです,
,,
ネタメモ：現場の1秒が崩れると、客単価が300円下がる　動線の再設計術,,
シーン,①セリフを考える（ライティング）,
1,たった1秒のズレで、客単価300円、消えてます,
2,あれ？ネギどこやっけ”って、探して1秒ロスしてません？,
3,冷蔵庫まで3歩、まな板まで2歩。たったそれだけで客単価数百円飛ぶんです,
4,導線、何年も見直してへんでしょ？,
5,人が育たん店”より、“動きが育たん店”の方が赤字なんですよ,
6,最近なんか疲れるな…って感じてるなら、調理中に“無駄な一歩”増えてるはずです,
7,“あれ？あのトングどこいった？”って探してる時点で三流です,
8,そりゃ疲れますよね、厨房の配置がスタッフの動きに追いついてへんし,
9,結局、疲れてるんじゃなくて非効率に潰されてるだけです,
10,現場の1秒が崩れるだけで、客単価・回転率・スタッフの余裕、全部下がっていきます,
11,でも、動線さえ整えば、“今の厨房でも”数字は変えられます,
12,厨房って、信号なしの交差点やと思ってください。ちょっとでもズレたらすぐ渋滞するんです,
13,厨房の設計って、“体の流れ”に合わせて作るもんなんです,
14,よく使う道具は全部、ワンアクションで取れるとこに。しゃがむ・振り返るは全部ムダやと思ってください,
15,"僕が入る現場ではまず“2歩以内に収まる厨房”に直してます。それだけで疲労も回転率も変わります
",
16,ラクになって、注文が増えて、スタッフもピリつかん。それが“設計の力”です,
17,“今の厨房”で疲れてるなら、設計、見直すタイミングです,
,,
ネタメモ：POSレジの紹介,,
シーン,①セリフを考える（ライティング）,
1,POSレジ選びで、あなたのお店にとっての“地雷”、引いてませんか？,
2,今日は“どのPOSがどんな店に向いてるか”を、わかりやすく話します,
3,"まずSquare。月額無料やし見た目もスッキリ。
でも注文数が増えてくると限界出てくるお店多いです
席数が多かったり、追加オーダーが多い場合は不向きです",
4,"逆にスマレジは、在庫・勤怠・売上分析まで、戦うための武器が詰まってる。
ただ、機能多い分、初期設計ちゃんとせな活かせへんのが少し手間",
5,"ユビレジはUIが直感的で、教育コスト低い。
スタッフ入れ替わり激しい店では、現場の負担をめっちゃ減らしてくれる
その反面お客様が触れる画面は少し操作性は悪いです",
6,"funfoは逆に省人化したい店向き。
モバイルオーダーとかLINE連携で、注文の流れをスマホで完結させるし
顧客管理もこなせて個人的に特におすすめです",
7,POSレジは“価格”じゃなくて、“何を任せたいか”で選ぶんです,
8,まとめると,
9,"現場の負担を減らしたいならユビレジ、
回転数と売上上げたいならスマレジ、
少人数運営ならfunfo、
まず動き出したい人はSquareです",
10,"POS変えただけで毎日めっちゃラクになった”
そういうお店ほんまに増えてます",
11,"なんでこんなに現場しんどいんやろ”って理由、
実はPOSにあるかもしれませんよ",
12,POS選びに迷ったら、すぐ見返してください,
13,,
14,,
15,,
16,,
17,,
,,
ネタメモ：立地選び　一等地信仰が危ない理由,,
シーン,①セリフを考える（ライティング）,
1,すみません一等地物件の闇暴いちゃいます,
2,駅前のあの場所、また店潰れてる…”って思ったことありません？,
3,あれ、実は“不動産会社のある仕組み”が絡んでるんです,
4,不動産業界には『両手取引』ってのがあって、大家さんと借りる側、両方から手数料取れる仕組みなんです,
5,"この仕組みやと、まず大手チェーンや有名企業に情報が流れて、中小にはまず回ってきません
",
6,じゃあ個人のとこに流れてくる一等地は？って言うたら、“家賃が異常に高い”とか“条件が悪い物件”ばっかりなんです,
7,だから個人で駅前一等地を契約しても家賃だけで売上のほとんどが飛ぶお店が続出します,
8,あなたも『いい場所見つけた！』って内見した時、内装がボロボロ、設備が中途半端…って経験ありません？,
9,なんで大手はその物件を取らんかったのか、理由考えたことありますか？,
10,両手取引のせいで、“いい物件”の情報が中小には基本出回らないんですよ,
11,今日は『中小のお店か一等地にこだわると失敗する理由』と、『失敗しない立地選びの方法』を具体的に教えます,
12,立地がいいからって焦って契約して、あとで『家賃払えへん…』って悩む人ほんまに多いんです,
13,一等地って、“大手が逃げた後の地雷原”みたいなもんで、何も知らずに飛び込んで怪我する店が多いんですよ,
14,立地は“家賃が売上の10%以内か”、“同業態の店が1年以内に潰れてないか”、“お客さんが自店に合うか”、これを絶対確認してください,
15,"僕のクライアントも駅前一等地で月80万の家賃に苦しみました。
でも少し離れた家賃25万の二等地に移転したら、利益率が3倍に跳ね上がりました」",
16,なんでこんなに売れてるのに儲からへんの？”って原因、家賃の高さと物件選びにあるかもしれませんよ,
17,立地選びで絶対後悔したくないなら、この話“保存”して、契約前にもう一回見直してください」,
,,
ネタメモ：スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない,,
シーン,①セリフを考える（ライティング）,
1,『任せる』の本当の意味を知らんから、お店が潰れかけるんですよ,
2,『自由にやって』って任せた瞬間、スタッフが迷子になってません？,
3,それで結果、サービスも接客も店ごとバラバラになってませんか？,
4,それ自由じゃなくて放置です,
5,気づかんままやと、スタッフのやる気も売上も一緒に下がりますよ,
6,『任せたはずやのに、なんで自分ばっか動いてるんやろ…』って思ったことありませんか？,
7,僕も昔、それで痛い目見ました,
8,『自由にして』がスタッフの不安を逆に煽ってたんですよね,
9,結局『放置』した結果、スタッフが辞めて、お店も売上も落ちました,
10,今日は、スタッフに任せる前に絶対やるべき『なんでやるか』の視座合わせを伝えます,
11,これ知らんままやと、『任せてもうまくいかへん』ループから一生抜けられませんよ,
12,任せるって、地図も持たせんと『目的地まで自由に行け』って言うようなもんです。スタッフが迷うに決まってますよね？,
13,任せる時は、『なんでこれをやるのか』を絶対セットで渡してください,
14,たとえば掃除なら、『綺麗にしたい』じゃなく『お客様にまた来てもらうため』って伝えるんです,
15,理由が明確になった瞬間、スタッフは『指示待ち』から『自分で考えて動ける人』に変わります,
16,これやるだけで、お店の雰囲気も売上も驚くほど良くなりますよ,
17,,
,,
ネタメモ：飲食店経営は“戦時”と“平時”を分けて考えろ,,
シーン,①セリフを考える（ライティング）,
1,いつも同じやり方の飲食店は利益を潰してるだけなんです,
2,忙しい時ほど儲からへん…って思ったことありません？,
3,ピークも暇な時も、ずっと同じオペレーションしてません？,
4,それ、一番やったらあかんことです,
5,区別つけへんと、忙しいほど利益ゼロ、暇な時に無駄遣いで赤字になります,
6,『今日は忙しい！』って焦ってメニュー増やしたり、『暇やから』って無理にセールしたりしてません？,
7,正直現場に立ってたら焦る気持ちも分かります,
8,"でも実は「いつも全力」が、スタッフの負担になってしまいます
",
9,"気づいた時には、スタッフもお金も残ってなかったです
",
10,だから今日は、『戦時』と『平時』を分けて経営する具体的な方法を伝えます,
11,"この考え方知らんままやと、頑張ってるのに一生報われませんよ
",
12,戦時は試合中、平時は練習。スポーツチームが毎日試合してたら潰れますよね？,
13,忙しい時は『効率と売上』、暇な時は『利益率改善とスタッフ教育』を徹底してください,
14,"忙しい時はメニュー絞って回転率アップ。暇な時は試作・新メニュー開発とスタッフ育成」
",
15,僕のクライアントはこのやり方で、繁忙期は売上記録更新、閑散期でも利益確保してます,
16,『忙しいほど儲からへん』って店ほど、この区別ができてないだけなんです,
17,まず今日、『忙しい日』と『暇な日』の動き方、スタッフと話して決めてください,
,,
ネタメモ：Google口コミ＝QSC＋店舗内研修,,
シーン,①セリフを考える（ライティング）,
1,Google口コミが自然に増えるなんて幻想です,
2,お客様に口コミ書いて欲しいのに、スタッフが全然お願いせえへん…って悩んでませんか？,
3,"『まぁ、そのうちスタッフも自然と頼むやろ』って教育後回しにしてません？
",
4,その考え、大間違いです,
5,口コミ教育しないまま放置してたら、他の店に完全に埋もれて、お客様が新規で入ってくることなくなりますよ,
6,今お客様入ってるからって安心してませんか？スタッフが勝手に口コミ依頼するやろと思ったら大間違い。実際、スタッフはやり方知らんまま日々お客様逃がしてます。それ、スタッフやなくて教育してへん経営者であるあなたの責任ですよ,
7,"僕が関わったお店でも、口コミ依頼せんまま放置して痛い目見たところ、ほんまに多いです
",
8,『お客様にお願いするの失礼かな』っていう変なプライドがあったんです,
9,そのプライドのせいで、繁盛してた店が一瞬で閑古鳥になった経験があります。,
10,スタッフが自信をもって口コミを頼めるようになる、僕がクライアントに教えてる具体的な研修方法をお伝えします,
11,スタッフがお願い上手になった瞬間、お客様から感謝されて口コミも劇的に増えますよ,
12,研修なしで口コミ依頼させるのは、泳げない人をいきなりプールに放り込むのと一緒です,
13,口コミ回収は接客の一部。スタッフにお願いの型を徹底的に研修する、これが唯一の正解です,
14,例えば『もしよければお帰りの際、Google口コミいただけると励みになります』ってスタッフが全員言えるまでロープレしてください,
15,僕のクライアント店はこれで1ヶ月で口コミ数が3倍。スタッフも口コミが増えて喜びでやる気も倍増しています,
16,スタッフはやり方を知らんだけでちゃんと教えたら絶対できます,
17,今すぐスタッフLINEグループに、『明日から口コミ依頼を接客に入れます』ってメッセージを送ってください,
,,
ネタメモ：価値を人に宿すと、集客が強くなる,,
シーン,①セリフを考える（ライティング）,
1,商品の価値だけ伝えても、お客様はもう動かない時代なんです。,
2,『商品には自信あるのになんで伝わらへんの？』ってイライラしてませんか？,
3,SNSや広告にお金かけても成果が出えへん…って焦ってませんか？,
4,その考え、甘いです。,
5,人に価値を宿さんかったら、あなたのお店は一生選ばれないままです,
6,似たような店が増える中、あなたの店だけがお客様を惹きつけられるのは、人に宿した価値だけです。,
7,実際、僕が見てきたお店でも、商品力に頼りすぎて失敗した例がほんま多いです,
8,商品を磨きさえすれば、お客様は自然に評価するっていう過信があったんですよね,
9,そんなお店ほど、気付いた時には手遅れになってました,
10,今日のリールでは、『人に価値を宿して集客する』ための具体的な方法をしっかりお伝えします,
11,価値を商品から人に移した瞬間、お客様の反応が劇的に変わりますよ,
12,価値を人に宿すのは、『あの営業さんやないと買わへん』ってお客様が付くトップ営業マンと同じ状態です。,
13,"価値はスタッフの個性に宿してください。商品は他の店も売ってますが、人の魅力はコピーできません。
",
14,スタッフが接客時、『実は僕、〇〇が得意で…』って自己紹介を入れるだけで、お客様の反応が大きく変わります,
15,実際これを実践したクライアント店では、『あのスタッフにまた会いたい』ってリピート率がかなり変わりました,
16,人の価値が見えると、お客様は自然とあなたのお店を選ぶようになるんです。,
17,今すぐスタッフに『明日から接客に自己紹介を取り入れる』とLINEで指示出してください,
,,
ネタメモ：リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）,,
シーン,①セリフを考える（ライティング）,
1,再訪率＝15％以下ならSNS投稿しても意味ない,
2,SNS必死に投稿してるのに、売上全然伸びひん…って焦ってませんか？,
3,まさか再訪率も知らんまま『新規さえ増えれば大丈夫』って勘違いしてませんか？,
4,"それ間違っちゃってます
",
5,"再訪率15％以下のお店は、どれだけ新規を集めても穴の空いたバケツに水を入れるようなもんです
",
6,SNSがどれだけバズっても、再訪率15％以下なら『二度と行きたくない店』って思われてるってことですよ？,
7,僕のクライアントにも、SNSだけ頑張って失敗したお店がたくさんありました,
8,『新規のお客様が来れば、そのうち定着する』って甘い考えがあったんです,
9,その結果、一瞬流行ってもすぐにお客様に忘れ去られました,
10,今日のリールでは、再訪率を上げるためにSNS投稿をする前に絶対必要なことをお伝えします,
11,"再訪率を上げたいなら、SNS以前にまず『品質・サービス・清潔さ』を改善するのが最優先です
",
12,QSCが整ってないのにSNS投稿するのは、片付けてへん家にお客様を呼ぶようなもんです,
13,SNSよりまず、スタッフが『品質・サービス・清潔さ』を意識できる仕組みを作ってください。,
14,例えば営業終了後、スタッフ全員に『今日のQSC』をお客様視点で振り返る時間を設けてください,
15,僕が見たクライアントのお店では、この振り返りを始めてから口コミ評価がじわじわ改善して再訪率が大きく向上しました,
16,スタッフが『お客様目線』を意識するだけで、お客様はまた自然に戻ってきますよ,
17,明日の営業終了後、スタッフに『今日の品質・サービス・清潔さを振り返ろう』と必ず伝えてください,
,,
ネタメモ：売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など,,
シーン,①セリフを考える（ライティング）,
1,売上があるからって安心してる店が一番危ないんです,
2,売上伸びてるのに、なんでお金足らへんの？って焦ってませんか？,
3,『売上がすべて』って毎月売上だけ追いかけてません？,
4,実はそれ、数字の罠にハマってます。,
5,FLRや販管費を知らずに営業してる店は、気付いた時には手遅れです。,
6,売上だけ見てるお店は、手元のお金が消えてることに気づけないまま、ゆっくり潰れていきます,
7,実は僕自身も昔、売上が全てやと思ってました,
8,売上を上げることだけに集中して、お金の流れを無視してたんです,
9,その結果、売上は好調でも手元資金が底をつきかけました,
10,手元にお金が残る店と残らん店、その決定的な差がどこにあるか、数字で具体的に知りたくないですか？,
11,大事なのは売上じゃなく、『何にいくら使ってるか』を数字で正確に把握することです。,
12,売上だけを見る経営は、ガソリンが漏れてる車でアクセル踏むようなもんです,
13,お金が残る経営の鍵は、『販管費と借入返済』を明確に把握して無駄を排除することです。,
14,月1回、『何の経費にいくら使っているか』『借入返済の割合』を必ず数字でチェックしてください,
15,実際、これを徹底したクライアント店では利益率が改善し、たった半年で黒字体質に変わりました。,
16,費用を明確に把握するだけで、経営が一気に楽になりますよ,
17,今すぐ、帳簿か会計ソフトを開いて、『販管費と返済の数字』をチェックする時間をスケジュールに入れてください,
,,
ネタメモ：現場のスタッフ全員で生産者に会いに行け,,
シーン,①セリフを考える（ライティング）,
1,スタッフ全員畑に行かせてください,
2,"僕も昔キッチン内でしか仕事せず
外の景色なんて見に行く暇もないわって後回しになってたんです",
3,でも現場で指示してても気持ちが入ってないって場面何度もありませんか？,
4,やらされてる感が抜けない現場は何を教えても育ちません,
5,このままやと言われた通りやるだけの人ばかりになりますよ,
6,"僕も現場にいたからよくわかるんですけどね
スタッフって、やる気がないわけじゃないんですよ
生産者さんとの繋がりがないだけなんです
結局育つ人って体験した人なんですよ
生産者さんの土地や空気に触れたとき
食材の重みがやっと自分ごとになるんです",
7,あの空気、わかります？厨房もホールも“熱”がない時,
8,料理はちゃんと出てるはずやのに、なんかお客様の反応が薄い,
9,今思えば僕が食材の重みを言葉にできてなかったんですよね,
10,このリールを通して伝えたいのは、「体験が先にあると、言葉が変わる」ってことです,
11,僕自身、“生産者に会ってない食材”を説明してた頃は、薄っぺらかったです,
12,養鶏所に行って雛鳥を見た瞬間、「このお肉、絶対ムダにできない」って、背筋が伸びました,
13,うちの現場でも、全員で行ったあとから空気がガラッと変わったんです,
14,お店全体で1日時間をつくって、農家さんや漁師さんの現場に行くだけでいいんです,
15,「〇〇さんの野菜ですが」ってスタッフと話せるようになると、現場で“語れる人”が育つんですよ,
16,「あの時、会いに行ってよかった」って、後になって必ず思う日が来ますよ,
17,今度、食材を仕入れるときは“その人の顔”を思い浮かべてみてください,
,,
ネタメモ：マルチチャネル経営が必須,,
シーン,①セリフを考える（ライティング）,
1,1店舗1収益の時代は終わってます,
2,"原材料費が年々増えている今
利益率はどれだけ下がりましたか？",
3,客単価を増やす努力をするより売上の流れ口を増やす方が先です,
4,店舗一本で利益を出し続けるのは、すでに“構造的に無理”なんです,
5,変わらないお店は、“選ばれないお店”になります,
6,「集客もしてる、接客も丁寧、リピートもある。でも、利益が増えない」——それ、“売上の入り口が1つだけ”っていう構造の問題かもしれません,
7,今コンサルしてるあるお店、コロナ前の8割までしか“店内飲食”戻ってないんです,
8,でもオーナー、もう焦ってない。「デリバリーとECで売上、ほぼ変わらない」って言ってたんです,
9,店内だけだったら、確実に沈んでました。複数の売上経路があったから、今も戦えてるんです,
10,経営って、「売上を上げる」より「売上の“通り道”を増やす」方が、よっぽど安定するんです,
11,僕も昔、“来店さえ増えれば大丈夫”って思ってて、販路のことなんて考えたことなかったです,
12,店舗だけで戦うって、一本道で山登るのと一緒なんです。登れない時は、別ルートを作るだけで変わるんですよね,
13,僕が提案してるのは、「チャネルを3本に分ける」って考え方です,
14,店内飲食・デリバリー・EC。それぞれで“ファンが増える仕組み”をつくるんです,
15,チャネルが増えると、“どこかが落ちても他で補える”ようになる。利益の安定感がまるで違います,
16,実際やったお店、口を揃えて「もっと早くやればよかった」って言いますからね,
17,まずは“店内以外でお金が入る仕組み”、ひとつでいいからつくってみてください,
,,
ネタメモ：やりがいじゃなく仕掛けマネジメント,,
シーン,①セリフを考える（ライティング）,
1,感情”じゃなくて、“仕組み”が人を動かす時代です,
2,「俺の背中を見て育て」は、もう通じない時代です,
3,昔はそれで通用しました。でも今は、仕掛けがなければ人は定着しません,
4,やりがいも大事。でも、再現性がないマネジメントは組織に残りません,
5,人が育たない組織は、いつかリーダーの首がしまるだけです,
6,「自分が新人だった頃より、みんな温度が低い気がする」って感じたことありませんか？,
7,その温度差、みんな感じてます。でも“本人のやる気”で片付けてませんか？,
8,「もう、こっちばかり熱くても意味ないかも…」って、思ったこと一度はありますよね,
9,温度を上げるには、“感情”じゃなくて、“仕掛け”が必要なんです,
10,人が動くのは、“気持ちが入ったとき”じゃなく、“動かざるを得ない仕掛けがあるとき”なんです,
11,僕も昔、「やりがいがあれば動く」って本気で思ってました。でも、現場ってそんな甘くないですよね,
12,みんな夜になったらスマホを充電しますよね？それって、「充電しよう」って気合じゃなく、“生活導線の中にある仕組み”なんです,
13,だから大事なのは、“やる気を引き出す仕組み”を先に設計することなんです,
14,たとえば、「終礼で1日の気づきを1人ずつ話す」。これだけで、自然に視野が広がっていきます,
15,仕掛けがあると、“気持ちが乗らない日”でも動ける。現場の温度が安定するんです,
16,昔の自分に言いたいです。「熱意より先に、仕掛けをつくれ」って。,
17,"「やる気を引き出す仕掛け」、まずは1つ、現場に仕込んでみてください。
　　ピンときた方は、忘れないように“保存”しておいてください。
",
,,
ネタメモ：通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる,,
シーン,①セリフを考える（ライティング）,
1,一本足経営になってませんか？──売上があっても、不安が消えないなら、それが答えです。,
2,売上の柱が1本しかない経営って、“リスクヘッジ”が効かないんです。ひとつ折れたら、全部崩れる。,
3,店舗が調子いい時ほど、「守り」が後回しになってませんか？──でも、攻めだけの経営は耐えられません。,
4,「売れてる＝強い」ではない。“ディフェンスが弱い店”ほど、変化に耐えられないんです。,
5,外部環境が揺れた時、守りの設計ができてない店から沈んでいきます。売上より、まず“耐性”です。,
6,多くの店が、“売上＝前進”だけを見てます。でも、“倒れない仕組み”を持たずに進むって、危険だと思いませんか？,
7,売上を追ってるだけで手一杯。守りのことまで考える余裕、ないって思いますよね。,
8,でもどこかで、「このままだとヤバいかも」って、ずっと引っかかってませんでしたか？,
9,売れてるのに潰れる店は、“守りがゼロ”だから。売上の高さじゃなく、構造が生死を分けます。,
10,経営って、売上の高さより“崩れにくさ”で評価すべきなんです。,
11,僕も昔は、「まずは数字」って売上だけ見てました。でも、それじゃ“守り”が効かないことに気づいたんです。,
12,経営って、ビル建てるのと一緒です。上に積む前に、どれだけ強く“基礎”を打てるか。それが構造＝耐性です。,
13,実店舗・通販・百貨店”をすべて持つのは、売上のためじゃなく、“経営の耐性”をつくるためです。,
14,まずは今の売上チャネルを3つに分けて考えてみてください。1本足じゃなく、“3点で支える構造”に変えることが第一歩です。,
15,どれか1つが止まっても、他が支えてくれる。“売上の安定感”は、こうして設計されるんです。,
16,僕もずっと“売る”ことばかり考えてました。でも、残せる経営って、“支える仕組み”があるんですよね。,
17,売上のチャネル”、1つでもいいので分けて考えてみてください。「うちの場合どうするべきか？」は、DMでご相談ください。,
,,
ネタメモ：アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？,,
シーン,①セリフを考える（ライティング）,
1,スタッフが育たないのはマニュアルがないからではなく、“芯”が伝わってないだけです,
2,ピーク中、手が止まってるスタッフ見て、“今それ？”って思ったことないですか？,
3,マニュアルの順番通りにしか動けなくて、お客様待たせてるのに本人は気づいてない,
4,これ、教え方の問題です,
5,このままだと、“気は利かないけど文句も言わない”スタッフばかりの静かな崩壊が始まります,
6,"“レベルが低い”って諦めてませんか？
でも本当は、“考える余白”を与えずに育ててきただけかもしれません",
7,僕も、“この子にはもう無理かな…”って何度も感じました,
8,でもあれ、諦めたんじゃなくて、教育を放棄していただけなんですよね,
9,正直、“育たない理由”を自分の外に置いてただけでした,
10,今日の話は、“なぜ人が育たないのか”と、“どうすれば言われなくても動くチームがつくれるのか”です,
11,これを知ってから、僕は“指示ゼロ”で現場が回る日を初めて経験しました,
12,"マニュアルって、信号機みたいなものなんです。
でも目的地がわかってなきゃ、青でも前に進めない",
13,一言メモ”にこそ、店の哲学が出る。マニュアルより、そこを見てます,
14,うちでは“なぜこの接客をするのか”を、開店前の朝礼で必ずセットで伝えます,
15,それ続けてたら、スタッフの子が“ここって、人を大事にするお店なんですね”ってポロッと言ったんです,
16,"ああ、この一言のために、やってきたんやなって。
“手順”じゃなく、“意味”が届いた瞬間でした",
17,まずは明日、スタッフに“なんのための挨拶か”を聞いてみてください,
,,
ネタメモ：売上が下がったときは割引じゃなく販路を増やせ,,
シーン,①セリフを考える（ライティング）,
1,"値下げは“お店の寿命”を削る行為です。
ほんまに見直すべきは価格じゃなく、“販路の狭さ”です",
2,売上が落ちるたびに、“とりあえずクーポン出すか…”って繰り返してないですか？,
3,割引しても客単価は戻らず、常連が減っていく感覚…ありますよね？,
4,そのやり方、もう詰んでます,
5,気づけば“値引きしなきゃ売れないお店”ができあがって、正規価格では誰も振り向かなくなるんです,
6,"“割引でまずは来てもらえれば…”って、思ってますよね？
でも、その来店動機、あなたのお店じゃなくて“安さ”です",
7,売上が下がったとき、“割引すれば人は来る”って、思ったことありますよね,
8,でも内心、“うちは安くしないと選ばれないのか…”って悔しさが残りませんでしたか？,
9,あの悔しさって、“販路を考える覚悟”がまだできてなかった証拠なんです,
10,"売上を上げたいなら“売り方”を変えるべきなのに、
なぜかみんな“価格”ばかりいじるんです",
11,本当に変えるべきは、“どこで誰に届けるか”のほうなんです,
12,"割引って、同じ材料・同じ手間で、わざわざ安く売ってるんです。
まかない並みに値下げして、必死に営業してるようなもんです",
13,"売上を上げるって、“価格を下げること”じゃない。
“売る場所”を増やすことです",
14,"例えば、法人向けの仕出し弁当。
客単価を下げずに、新しい売上の柱がつくれます",
15,僕の知ってる鰻屋さんは、割引ゼロのまま、MR向けの弁当だけで月商を個人店並みに伸ばしました,
16,“ウチは価格じゃなくて価値で勝負する”って、やっと言えるようになったって話、よく覚えてます,
17,"割引は一旦ストップ。
その代わり、“売れる場所”を1つ増やすことだけ、考えてみてください",
,,
ネタメモ：焼肉屋の仕込みの壁を超える仕組みとは,,
シーン,①セリフを考える（ライティング）,
1,職人が切ってる焼肉店、長く続きませんよ？,
2,うちは職人おるねん！って豪語してた焼肉屋、閉業しちゃったんですよね…,
3,"「あの職人辞めてから立ち行かんくなってしもたわ」って言ってたオーナー
最後はほんまに苦しそうでした",
4,でもこれ、よくある話なんです,
5,"その人がいなくなった日、厨房もホールも何していいか分からん
って固まってまともな営業できなかったんです",
6,"「技術は盗め」って教えられてきた世代が
「今何も残せへん」って悩んでる時代なんです",
7,実際僕も自分がおらんと回らん現場をずっと抱えてました,
8,任せたくても任せられへんし、手放したら全部壊れそうでめちゃくちゃ怖かったです,
9,でも、自分にしかできひん！を続けた先に誰も残らなかった現場も知ってます,
10,"あの焼肉屋も職人の技頼りで誰も再現できないまま終わりました
でも終わらせずに残す方法がちゃんとあるんです",
11,"昔は「見て盗め」の時代でした
でも今は「誰でも届くように翻訳する」時代なんです",
12,"昔の料理人は背中で語れって言ってましたけど
今はその背中を動画で撮って言葉で残すのが得策ですね",
13,"属人技術は感覚で覚えるから動作を
言語と動画で残すだけで価値が継承されます",
14,"実際ある焼肉屋では
カットの厚さ・スジの処理・皿の順番まで全部動画と図で仕組みにしました",
15,"技術は翻訳できるって気づいた職人が
「自分の技術が若い子らに残ることが一番嬉しいわ」って言ってます",
16,"味を守るって自分の手を動かすことやと思ってたんですが
ほんまの意味で守るって残すことなんですよね",
17,これからの飲食業は技術を受け継がせた人間こそがほんまのプロやと思ってます,
,,
ネタメモ：そのオペレーションを続けることが、継続コストがあなたの首を絞めてる,,
シーン,①セリフを考える（ライティング）,
1,「これがうちのやり方やねん」って呪いかかってませんか？,
2,昔からやってるしで続けてる作業ほんまに今も意味ありますか？,
3,なんでこれやってるん？って聞かれても「昔からやねん」って答えるしかないですよね,
4,でもそれ今の時代にはもう合ってません,
5,そのまま気づかずに5年10年続けてやってるわりに報われへん体質が完成してる店たくさん見てきました,
6,昔からの文化やしって言いながら誰もほんまの意味は説明できひん作業店に残ってませんか？,
7,僕も昔毎日やってるのに「なんでこれやってるんやろ」って感じる作業ありました,
8,でもやめたら先輩に怒られそうで怖くて黙って続けてました,
9,でも結局それでめちゃくちゃ無駄な時間だけ積み重なっていったんですよね,
10,僕ね毎回続けてる作業を見るとき何が目的やったんやっけ？って考えるんです,
11,というのも現場で何も変えずに続けてることこそ一番コストを食うんです,
12,壊れてへん蛇口からずーっと水がポタポタ漏れてるとしたら止めなかった人の責任ですよね,
13,飲食店経営で本来改善するべきは目に見えてる穴だけじゃなくて意味が曖昧なまま続けてる作業なんです,
14,現場で理由の言えへん作業は一度リストに書き出して「これ、何のためやっけ？」って問い直してみてください,
15,やらなあかんルールがいつの間にか続いてただけになってたらそれはただの現場の負担です,
16,僕も昔止めるのが怖いってずっと思ってた作業を止めたら現場めっちゃラクになりました,
17,一旦今見てるSNSの画面閉じてすぐに無駄な作業がないか見に行ってください,
,,
ネタメモ：なぜこの店は夢を語ってるだけで予約が埋まるのか？,,
シーン,①セリフを考える（ライティング）,
1,どう売るか”ばっか考えて、“なぜ売るか”を思い出せてない人、見失ってるものありますよ,
