No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
28,締め作業で毎晩1時間バイトを使ってる店長へ,まさか締め作業、バイト全員で1時間もかけてませんよね？それ、人件費垂れ流してますよ。,「今日も疲れたな…はよ締め作業終わらせて帰りたい」って、毎日思ってません？,閉店したら、みんなで一斉に掃除して、片付けて…それが当たり前の光景になってる。,それ、一番あかんやり方です。,その毎日の1時間、月で計算したら何万円になります？利益、そこから静かに漏れてますよ。,「締め作業は人手が多い方が早い」って、なんとなく思い込んでません？,スタッフにはよ帰ってほしいし、自分もはよ帰りたい。その気持ち、めっちゃわかります。,でも、仕組みを変えるのが面倒で、つい“人手で解決”に逃げてしまうんですよね。,その優しさが、店の体力をじわじわ削ってることに、そろそろ気づかなあきません。,このあと、締め作業の人件費を半分にするための“仕組み”の話をします。,人海戦術でやる締め作業と、仕組みでやる締め作業。かかるコスト、雲泥の差ですよ。,締め作業って、毎日ポタポタ漏れてる水道の蛇口と一緒です。キュッと締めるだけで、年間の水道代、全然変わりますよね。,人を使うのはなんの解決でもないです。垂れ流すコストにシビアにならんと経営はうまくいきません。,やるべきは3つ。作業の洗い出し、分担の見直し、そして“やらんでええこと”を決めること。,アイドルタイムにできることは先にやる。レジ締めは1人に任せる。これだけで30分は縮まります。,浮いた人件費でみんなに還元する。そっちの方がええお店になると思いませんか？,「締め作業を5分削るには？」って毎日考える。その積み重ねが、強い店を作るんです。,現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;飲食経営に感情は要るのか？やりがいだけでは勝てない時代;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;あなたの店、SNSやる前に現場の空気が整ってますか？;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる
29,新人がピークで固まる瞬間：最初に覚えさせる“3フレーズ”だけ,新人がピークで固まるの、仕事が分からんからやと思てません？,「なんで今止まるねん！」って、見てるこっちがヒヤヒヤしますよね。,とりあえずメニュー全部覚えさせて、オーダーの取り方叩き込んで…ってやってません？,それ、一番アカンやつです。,このままやと新人はパニック、お客様はイライラ、お店の空気は最悪の悪循環に陥ります。,「ちゃんと教えたはずやのに…」って、自分の教え方が悪いんかなって悩んでません？,忙しい中で新人教育する時間なんて、ほんまにないのが現実ですよね。,本当は、新人に早く戦力になってほしいだけ。でも、どう教えたらええか分からんのですよね。,その気持ち、めっちゃ分かります。でも、その『全部教える』が、逆に新人を追い詰めてるんです。,今日は、新人がピークでも固まらずに動けるようになる、たった3つの魔法の言葉をお伝えします。,全部を完璧にやらせようとする店と、たった3つの逃げ道だけ教える店。新人の成長スピード、全然違います。,いきなり車の運転を教えるんやなくて、まずはブレーキの場所だけ教えるみたいなもんです。事故さえ防げたらええんです。,新人に最初に覚えさせるのは、仕事内容やなくて『3つの逃げ道』なんです。,それは「少々お待ちください」「確認してまいります」そして「ありがとうございます」。この3つだけです。,分からんかったら、この3つのどれかを言うて先輩に聞きに来い、って約束するだけ。これだけで新人は安心して動けます。,新人が自分で考えて動けるようになる第一歩は、この『失敗しても大丈夫』っていう安心感から生まれるんです。,ピークを止めへんこと。新人に逃げ道を用意してあげるのが、僕ら上司の仕事です。,メニュー開発は固定概念に囚われてはいけない（リフレーミング）;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;人が辞めないチームの作り方　給与より信じたくなる空気があるか;FL比率;夜営業で売上伸び悩んでるお店のソフトドリンクの発想が間違ってる
30,客単価が上がらない店の2杯目注文が止まるオーダータイミング,料理も来てへんのにドリンク聞く。話が盛り上がってる時に割り込む。空いたグラスを放置する。これ、ドリンクオーダーの“最悪手トリオ”ですわ。,「なんでうちの店、2杯目頼んでくれへんのやろ…」って、本気で悩んでませんか？,「グラス空いてるから！」って焦って声かけたり、逆に忙しくて全然気づかんかったり…つい、やりがちですよね。,それ、全部タイミングが最悪なんです。,その“間の悪さ”がお客さんの「もうええか…」を生んで、静かに客単価を下げていくんですよ。,「スタッフにはちゃんと声かけろって言うてるのになあ…」って、内心モヤモヤしてません？,ほんまはもう一杯でええから、単価をあと数百円でも上げたい。その気持ち、めっちゃ分かります。,でも、「しつこい」って思われるのも嫌やし、「売込み」みたいになるのも避けたいんですよね。,その気遣いが、実はチャンスを逃してる一番の原因かもしれへんのです。,実は、2杯目の注文が自然に生まれる“神タイミング”があるんです。今日はその見極め方を全部話しますわ。,“作業”として聞くのと、“会話の流れ”で聞くの。この違いだけで、注文率は全然変わります。,お客さんがメニュー見てる時がチャンスやと思ったら大間違い。それ、映画のクライマックスで声かけるようなもんです。,2杯目が出ずに客単価が伸び悩んでる店は、オーダーが来ないんやない。こっちの“間”が最悪なだけなんです。,狙うべきは3つ。料理が来て一口食べた後、会話が一瞬途切れた時、そしておしぼりを使った時です。,「グラスが空いたら」やなくて、「お客さんの表情が緩んだら」。この基準でホールを観察してみてください。,これって、ただのテクニックやないんです。お客さんへの“気遣い”がちゃんと売上に変わる瞬間なんですよ。,ドリンク単価は偶然でも提案力でもない。お客さんをどれだけ見てるかの“観察力の点数”です。,意思決定と合意形成;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;マルチチャネル経営が必須;ぶっちゃけ飲食店の成功は立地で決まるかどうか;人気店は「やりたくないこと」も決めてる
31,「今日は暇やわ」が口癖の飲食店オーナー,「今日は暇やわ」って言うてる時点で、経営者として思考停止してます。,天気とか曜日のせいにして、「しゃあない」って自分に言い訳してませんか？,暇やからって、ただ掃除したり、スマホ見て時間潰してたり。,それ、何の解決にもなってませんよ。,その「暇な日」が当たり前になって、気づいたら客足は遠のいて、静かにお店が潰れていくだけです。,「いや、自分なりに頑張ってるつもりやねんけどな…」って、心のどこかで思ってません？,暇な時に何したらええか分からんようになって、焦る気持ちはめっちゃ分かります。,ほんまは「何とかせなアカン」って分かってるけど、具体的に動かれへんのが一番しんどいんですよね。,でも、その「待ち」の姿勢でいる限り、売上は天任せのままですよ。,今日は「暇な日」を「未来の売上を作るチャンス」に変える、具体的な思考法を話します。,これを知らんかったら一生天気に一喜一憂する経営、知ってたら暇な日こそニヤニヤできます。,暇な日って、釣りで言うたら魚がおらん時に、ただ竿垂らしてるだけ。餌の種類変えたり、場所変えたりせな釣れへんでしょ。,結論、暇なのは全部自分のせいです。他責は楽やけど、そう責任を引き取った瞬間からしか改善は始まりません。,やることはシンプルに3つ。①過去のデータ分析、②SNSの発信強化、③常連さんへの個別アプローチです。,去年の同じ日の売上と比べて何が違うか見る。リール1本撮る。LINEで「今日お席空いてますよ」って送る。これだけでも未来は変わります。,他人のせいにするんは楽やけど、自分の力で店を変える方が、絶対おもろいですよ。,経営をあなたの手中でコントロールしましょ。潰れる要因数える前に、やれること、なんぼでもありますよ。,POSレジの紹介;エリアリサーチ　主導線と副動線;繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;飲食店の店舗アカウントのプロフィール;意思決定と合意形成
32,焼肉屋さん、網洗いに人件費かけすぎてない？,焼肉屋さん、その網洗い作業、実は毎月数万円捨ててるのと同じかもしれませんよ。,閉店後のクタクタな体で、ゴシゴシ網洗うの、正直しんどいって思ってません？,新人バイト君に「とりあえずこれ洗っといて」って、一番しんどい仕事押し付けてませんか？,それ、優しさちゃいます。ただのコスト垂れ流しです。,その“見えないコスト”を放置してたら、スタッフは辞めてくし、利益はどんどん削られていきますよ。,「網洗いなんて自分らでやるもんや」って、昔からの常識に縛られてません？,わかるんです。少しでも経費は抑えたい。でも、ほんまに抑えるべきはそこですか？,ほんまはもっと大事な、売上作る仕事に時間使いたいって心の底で思ってますよね？,その真面目さが、逆にお店の首絞めてるってことに、そろそろ気づかなあきません。,今日は、その無駄な人件費を利益に変える、めっちゃ簡単な計算方法を教えますね。,今のまま消耗し続けるお店と、賢く仕組み化して利益出すお店、どっちになりたいですか？,網洗いにかけてる人件費って、蛇口開けっぱなしにしてる水道代と一緒なんです。気づかぬうちにどんどん出ていってます。,結論、網洗いは自分らでやったらあきません。外注か、機械化の一択です。,まず、1ヶ月の網洗いにかかってる「時間 × スタッフの時給」を計算してみてください。,その金額と、洗浄機や外注業者の月額費用を比べるだけ。答えはすぐに出ますよ。,その計算、もしかしたら怖くて今まで見て見ぬふりしてたんとちゃいますか？,一ヶ月の網洗い人件費が外注費を上回ってたら、それはもう変えるべきサインです。,FL60%なんて守っていたらやっていけない;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;集客に即効性を求めてはいけない;求人が来ない理由とブランドイメージの関連性;限界利益
33,ワンオペラーメンオーナーが限界：券売機・前払い導入の判断基準,ワンオペのラーメン屋さん、その会計時間でラーメンの味、落としてますよ。,「あ、今会計か…でも麺茹でてもうた…」って、内心めっちゃ焦りますよね。,ピークタイムに限って「一万円で」って言われて、お釣り数えてる間に次の調理が遅れる。,その数秒のロス、ほんまは無くせるんです。,このままやと提供は遅れる、回転率は下がるで、売上の上限がずーっと低いままなんです。,「券売機は高いし、なんか冷たい感じするしな…」って、導入をためらってません？,お客さんとの会話も大事にしたいし、いきなり設備投資も怖い。その気持ち、めっちゃ分かります。,でも本音は「会計さえなければ、もっとラーメンに集中できるのに…」って思ってますよね。,そのこだわりは大事です。でも、そのせいで自分の首絞めてたら、本末転倒ちゃいますか？,このあと、券売機を「入れるべき店」と「絶対に入れたらアカン店」の判断基準を、ハッキリお伝えします。,会計に追われるワンオペと、調理に集中できるワンオペ。同じ1時間でも、作れる杯数も利益も全然違います。,券売機って、ただの機械やないんです。ワンオペ店長にとっての「もう一人の自分」、いわば影武者みたいなもんなんですわ。,結論、ピークタイムの会計業務が店のボトルネックになってるなら、券売機は「買い」です。,忙しい時ほど会計ミスは増えるし、クレームにも繋がる。券売機はそれを防ぐための「保険」やと思ってください。,まずは自分の店のピーク1時間で、何回レジを触ってるか数えてみてください。その時間が調理に使えたら…って想像するだけで、答えは見えてきます。,機械に任せられることは任せて、自分は一番大事な「味」と「お客さんの顔」に集中しましょ。,逆に常連さんとの会話やカスタムが売りの店は、入れん方がええです。自分の店の価値、見極めてくださいね。,現場の1秒が崩れると、客単価が300円下がる　動線の再設計術;飲食店は立地で決まる？;財務三表の説明;試食の仕方　ワンポーション食わんかい;世間の長期休暇に勝つ店・負ける店　イベント任せはもう通用しない
34,回転が悪いカフェ：滞在時間を削らずに席効率を上げる方法,カフェで“回転率上げよう”って考えてる時点で、もう失敗してます。,「ゆっくりしてほしいけど、正直しんどい…」って、毎日葛藤してません？,「そろそろ出てもらわれへんかな…」って、心の中でカウントダウンしてしまってませんか？,それ、お店の空気も悪くなるだけですわ。,そのうち「あそこは長居しにくい」って噂が広まって、誰も来んようになりますよ。,席数も限られてるし、客単価も上げにくい。もう打つ手ないわ…って思ってません？,僕も昔、満席やのに売上が全然上がらんくて、ほんまに頭抱えましたわ。,ほんまは“ゆっくり過ごしてほしい”っていう気持ちと、“経営を成り立たせたい”っていう気持ち、どっちも大事なんですよね。,でもその気持ちだけじゃ、お店は回りません。やり方を変えるしかないんです。,実は、お客さんを急かさんでも“席効率”を上げる方法があるんです。今日はその話をします。,“回転率”を気にする店は客足を失う。でも“席効率”を考える店は、売上も満足度も上がるんです。,今の状態って、高速道路の料金所が1つしかないみたいなもん。席の役割分担ができてへんから、全部が詰まってるんです。,答えはシンプル。“席に役割を持たせる”んです。全部の席を同じように使わせたらあきません。,例えば、一人客はカウンター、作業する人は大テーブル、おしゃべりなら二人席、みたいに自然と誘導するんです。,まずは自分の店の席を見て、「この席は誰向けか？」って全部に役割を書き出してみてください。それだけで配置のヒントが見えてきます。,「ゆっくりどうぞ」って心から言えるようになると、お店の雰囲気ってめちゃくちゃ良くなるんですよ。,滞在時間を価値に変えるんです。追加注文しやすい工夫とか、混雑時のルール作りも大事ですよ。,予約ゼロ→満席に変えた価格の順番　値下げより設計が先;家族経営の強み;価値を人に宿すと、集客が強くなる;アルバイトの定着;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え
35,コースを単価UPのためと思ってませんか？選択のしやすさ,「単価UPしたいからコース作るねん」って言ってる時点で、もう失敗してますわ。,コースって、お店が儲けるための仕組みやろ？って、お客様に思われてたら最悪ですよ。,とりあえず高い食材並べて、「お得感」だけでコース作ってませんか？,それ、お客様のためやなくて、お店の都合ですやん。,結果、「なんか選ばされ感あるな…」って思われて、二度と来てもらえんようになります。,「コースは高いから敬遠されるんちゃうか…」って、アラカルト中心にしてたりしません？,でも初めてのお店でメニュー見て、何頼んだらええか分からん…って経験、誰でもありますやんか。,ほんまは「失敗したくない」「オススメをええ感じに食べたい」ってのがお客様の本音なんです。,その不安を解消してあげるのがお店の役目。単価のことばっかり考えてたら、その気持ち見えへんようになりますよ。,このあと、お客様が「この店、分かってるわ〜」って思わず言ってしまうコースの作り方、お伝えしますね。,単価UPのためのコースと、選びやすさのためのコース。似てるようで、目的が全然違うんです。,初めての旅行先で「おまかせツアー」があったら安心しません？あれと全く一緒ですわ。,コースのほんまの価値は、「お客様の“選択ストレス”をゼロにすること」なんです。,行ったことのないお店のアラカルトほどストレスなもんはない。その時にコースがあると、お客様はお店を選びやすくなるんです。,「お店の看板メニュー」「季節のオススメ」「締めにちょうどええ量」。この3つが入ってたら、お客様は安心して任せてくれます。,「これ頼んどけば間違いない」っていう安心感が、お店への信頼に変わっていくんですよね。,コースは決められへん人のための救済措置。それが結果的に単価を押し上げてるだけなんです。,CFの8つの型で自店の経営状況の判断を;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;試食の仕方　ワンポーション食わんかい;今もコロナ前と同じやり方してる店　変わらないことがリスク;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる
36,コロナ融資終わって閉店,コロナ融資の返済、正直しんどくないですか？あれ、実は罠なんですわ。,返済が始まった途端、キャッシュフローが一気にきつくなった…って頭抱えてません？,なんとか売上を上げて返済せなって、毎日必死で店回してるんですよね。,でもそれ、根本的な解決になってないんです。,このままやと返済のために働いてるだけになって、気づいたら手元に何も残らず閉店…ってことになりかねませんよ。,「融資のおかげでなんとか乗り切れた」って、正直ホッとしてませんでした？,でも、いざ返済が始まったら、現実の厳しさを突きつけられてるんですよね。,「あの時借りひんかったら…」なんて後悔もよぎるけど、当時は借りるしかなかった。その気持ち、めっちゃ分かります。,でも、はっきり言います。あの融資はただの延命装置やったんです。,このあと、融資返済で潰れる店とV字回復する店の、たった一つの違いを話します。,融資を「延命装置」で終わらせたか、「再生装置」として使えたかの差ですわ。,借りたお金で新しい武器を買った店と、ただ傷の手当てだけしてた店の違いですね。,問題は返済額ちゃいます。元々あった「集客力の弱さ」なんです。,融資は時間を買うためのもの。その時間で客単価、リピート率、集客の仕組み、何か一つでも変えられましたか？,返済が原因で潰れるんやない。元々の課題を解決できんかったから、今しんどいんです。,ちょっと厳しい話かもしれんけど、この事実に今向き合わんと、ホンマに手遅れになりますよ。,融資は潰れる判断を後ろにずらしただけ。その時間で何を変えたかが、今の答えです。,料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;マクドナルドから真似すべき戦法;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;始めるより、撤退が上手い店が勝つ;チェーン店に勝つ方法
37,飲食店オーナーの現場張り付き症候群,飲食店オーナーの現場張り付き症候群、それ、末期の症状ですよ。,「自分が店におらんと、絶対回らへん…」って、毎日不安になってませんか？,結局「自分がやった方が早い」って、仕込みから締め作業まで全部やってません？,それ、お店の成長を自分で止めてるんです。,そのままだと、あなたが倒れた瞬間に、大好きなお店も一緒に潰れますよ。,「でも、スタッフに任せるのはクオリティが心配やし…」って思ってますよね？,任せたいけど任せられない。その気持ち、痛いほど分かります。,ほんまは「自分の城やから完璧にしたい」っていう、愛情の裏返しなんですよね。,その愛情は素晴らしい。でも、自分の体を壊してまでやることちゃいますよ。,このあと、あなたが現場を離れてもお店が勝手に成長していく、具体的な仕組みの作り方をお伝えします。,オーナーが頑張る店と、仕組みが頑張る店。10年後、笑ってられるのはどっちやと思いますか？,オーナーは船を漕ぐ船員やない。船が進むべき方向を示す、船長にならなあかんのです。,お店は、あなたの体力以上に大きくはなりません。だからこそ、仕組みで回すんです。,やることは3つ。作業の見える化、スタッフへの権限移譲、そして売上以外の数字の共有です。,まずは、自分が毎日やってる仕事を全部書き出して、誰にでもできる作業から一つずつ任せてみてください。,最初は怖いかもしれん。でも、スタッフを信じることが、お店を強くする一番の近道なんです。,あなたが1ヶ月お店にいなくても回る仕組み作りに、今日から全力で取り組んでください。,売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;Google口コミ＝QSC＋店舗内研修;売上が下がったときは割引じゃなく販路を増やせ;人時売上高;ぶっちゃけ飲食店の成功は立地で決まるかどうか
38,値下げ戦略、9割の飲食店があとで後悔します,値下げ戦略、9割の飲食店があとで後悔します。,「最近、客足が減ってきたな…」って焦ってませんか？,手っ取り早く集客したくて、つい割引クーポンとか出しちゃう。,でもその一手、ほんまに危ないですよ。,安さ目当てのお客さんで席は埋まるけど、利益は出えへん。気づいたら常連さんも来なくなってるんです。,「一時的にでもお客さんが増えれば、なんとかなるはず」って、どこかで期待してません？,ほんまは、お店の価値を分かってくれるお客さんで満席にしたいんですよね。,でも、今のままやと忘れられてしまうんちゃうかっていう不安が、その判断を鈍らせてるんです。,その気持ちは痛いほど分かります。でも、安売りは一度始めたら後戻りできへん道なんです。,このあと、値下げが引き起こす3つの悲劇と、価格を下げずに価値を伝える方法について話します。,値下げで来るお客様は「安さ」が目的。値上げしたらすぐ去っていきます。,常連さんがいつも頼んでたメニューが安売り対象になったら、どう思います？お店の価値ごと安く見られてしまうんです。,結論、値下げして客層が変わったら、もう二度と元には戻らないです。,忙しいのに利益が残らん。スタッフは疲弊する。そして、大切にしてた常連さんが離れる。,やるべきは値下げやなくて、価値上げ。限定メニューとか、特別な体験とか、価格以外の理由を作ることです。,「うちの料理はこんなに安くない」って、本当は悔しい気持ちがあるはずです。,安易な値下げは劇薬です。その副作用もちゃんと理解した上で、慎重に判断してくださいね。,一見客で回す飲食はいつか潰れる;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;お客様の怒りや渇望→マーケ;意思決定と合意形成;飲食店がキッチンカー参入で儲からない理由
39,クーポンで店が一気に苦しくなる理由,そのクーポン、店の寿命を縮めてるだけって知ってました？,「お客さん来えへんし、とりあえず割引しとこ…」って、つい頼りたくなりますよね。,グルメサイトの初回割引とか、SNSフォローで一品サービスとか、安易にやってません？,それ、ほんまは一番やったらあかんことです。,このままやと、クーポン目当ての客しか来んようになって、利益ゼロの自転車操業になりますよ。,「でも、クーポンやめたら誰も来なくなるんちゃうか…」って、正直不安ですよね。,僕も昔は安売りでしか集客できひんと思ってたんで、その気持ち、痛いほど分かります。,ほんまは料理の味とか店の雰囲気で選んでほしいのに、価格でしか勝負できひんのが悔しいちゃいますか。,その気持ちは分かるけど、そのやり方やと店のファンは一生育ちません。,今日は、なんでクーポンが危険なんか、その本当の理由と、価格競争から抜け出す方法を具体的にお伝えします。,クーポンで来る客は「価格」で店を選びます。でもファンになってくれる客は「価値」で店を選んでくれるんです。,クーポンって麻薬みたいなもん。一瞬集客できるけど、だんだん効かんようになって、最後は店の体力がなくなるだけなんです。,結論、クーポンはお客さんの来店理由を『この店が好き』から『この店が安い』にすり替えてしまうんです。,お客さんが来る理由が『安いから』になった瞬間、もっと安い店が出てきたら一瞬でいなくなります。,まずは今あるクーポンを全部見直してください。そして、その代わりに『あなただけの価値』を伝える発信を始めるんです。,最初は怖いかもしれん。でも、あなたの店の本当の価値を信じてくれるお客さんだけが、ちゃんと残ってくれます。,クーポンをやめても来てくれる理由、今言えますか？それがあなたの店の本当の強みです。,オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;飲食店経営は“戦時”と“平時”を分けて考えろ;FL比率;新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;ぶっちゃけ飲食店の成功は立地で決まるかどうか
40,潰れた店が口を揃えて言う“やらなきゃよかった”,潰れた店が口を揃えて言う「やらなきゃよかったこと」3選、これほんまに多いんです。,「なんでウチだけ上手くいかんのやろ…」って、夜中に一人で考え込んだこと、ありません？,とりあえず売上上げなアカン！って、がむしゃらに働いてる。,でもそれ、一番危ない落とし穴かもしれへんのです。,気づいた時には手遅れで、大事な店もスタッフも、全部失うことになりますよ。,ほんまはもう、何から手ぇつけたらええか分からんようになってません？,僕もそうでした。目の前のことで精一杯で、ほんまに大事なことを見失ってたんです。,「このままじゃアカン」って分かってるけど、認めるのが怖かったりしますよね。,その気持ち、痛いほど分かります。でも、そこから目を背けたら未来はないんです。,今日は、多くの店がハマった“3つの罠”について、正直に話します。,成功した店の話より、潰れた店の“後悔”の方が、よっぽど学びがあるんですわ。,これ、車の運転と一緒で、アクセルの踏み方より、ブレーキの場所を知っとく方が事故らんのです。,まず一つ目。「固定費を上げすぎたこと」。特に見栄張った家賃と人件費です。,二つ目、利益の構造を分からんまま走ったこと。三つ目、嫌な意思決定を後回しにし続けたこと。,まずは自分の店の固定費が売上の何%か、今すぐ計算してみてください。そこから全部見えてきます。,「知らんかった…」で店を失うんは、ほんまに悔しいですからね。,これから始める人は成功例より失敗例から学ぶ。それが一番安全な経営の近道やと思います。,焼肉屋の仕込みの壁を超える仕組みとは;限界利益;SNS投稿ばかり頑張っている人、まずは自分のお店のリピーター比率を理解しましょう（マーケティングファネル）;Google口コミ＝QSC＋店舗内研修;チェーン店に勝つ方法
41,Googleの口コミ→ガイドライン違反,口コミ書いてくれたらドリンク一杯無料！ってやってるお店、それ完全に違反ですよ。,ええ口コミ欲しいし、手っ取り早く集めたい…って気持ち、めっちゃわかります。,『次回割引します』とか『トッピングサービス』とか、ついやってしまってませんか？,それ、良かれと思ってるかもしれんけど、あかんやつです。,最悪の場合、Googleから口コミ全部消されてアカウント停止。お客さんからの信頼もゼロになりますよ。,『バレへんかったらええやん』『みんなやってるし…』って、心のどっかで思ってません？,必死で頑張ってるからこそ、ちゃんと評価されたいんですよね。その焦り、僕も経験あります。,ほんまは、ズルせんと正々堂々と評価されたい。でも、どうしたらええかわからん…それが本音ちゃいますか？,その気持ちは痛いほどわかる。でもそのやり方やと、結局自分のお店の価値を下げてしまってるんです。,このリールでは、なんでそれがアカンのか、Googleのルールと法律の話をきっちりお伝えします。,お金で買うた評価と、お客さんが心から書いてくれた評価、どっちがお店の財産になると思います？,それって、テストでカンニングして100点取るようなもん。実力とちゃうから、すぐボロが出ますよ。,結論、Googleは『見返りを渡して口コミを投稿させること』をガイドラインで明確に禁止してます。,しかも、景品表示法っていう法律にも引っかかる可能性がめっちゃ高い。これ、知らんかったでは済まされへんのです。,今すぐそのキャンペーンはやめてください。代わりにお会計の時『もしよかったら応援お願いします』って伝えるだけでも全然ちゃいます。,小手先のテクニックに頼らんでも、ほんまにええ店やったら、お客さんはちゃんと見てくれてますよ。,マーケティングを小手先のテクニックで完結するのは経営とは呼べませんよ。,リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;エリアリサーチ　主導線と副動線;PLは％で見れるように;限界利益
42,売上が落ちた時に絶対やってはいけない行動,売上が落ちた時、9割の人がやるけど絶対やったらあかん行動、知ってますか？,「なんかせなヤバい」って、新しいことに手を出そうと焦ってませんか？,新メニュー開発とか、SNSの新しい企画とか、つい『足し算』で考えがちですよね。,正直、それ逆効果です。,あれもこれも手出して、結局どれも中途半端。気づいたら時間もお金も溶けてますよ。,ほんまは「何から手つけたらええか分からん」ってのが本音ちゃいます？,売上が下がると、とにかく動かなあかんって気持ちになるの、めっちゃ分かります。,でもそれって、不安から逃げたいだけで、問題の根本を見てへんことが多いんです。,その気持ちは大事やけど、闇雲に動いても傷口を広げるだけやで。,このリールでは、売上が落ちた時にまずやるべき『引き算の経営』について解説します。,新しいことを10個始めるより、重たいものを1個やめる方が、お店は軽くなります。,穴の空いた船で、必死に水をかき出すんじゃなくて、まず穴を塞がなあかんのです。,答えはシンプルです。何かを足す前に、必ず重いものを下ろしましょう。,まずやるべきは、1番重たい固定費の見直し。次に利益が出とらん業務を止めること。,そして施策は1つだけ、短期間で試す。で、必ず数字で「続けるか」「やめるか」を決めるんです。,「あれもこれも」って抱え込んでしんどくなる前に、まず身軽になることが大事なんです。,お店を立て直すには、足すんやなくて引く勇気。まずやるべき順番が重要です。,人時売上高;加工品を賢く取り入れる;リピーター比率＝再訪人数÷来店延人数で算出　SNSが生きる最低条件を可視化　改善策（商品・接客・体験設計）;人気店は「やりたくないこと」も決めてる;始めるより、撤退が上手い店が勝つ
43,「飲食店　集客　方法」って検索したことある人,「飲食店　集客　方法」って検索したことある人、そこに答えは出てこないですよ。,色々試したけど、結局お客さん増えへん…ってなってませんか？,とりあえずSNS更新したり、クーポンサイトに登録してみたり。,それ、ただの“作業”になってるだけなんです。,このままだと広告費だけ垂れ流して、気づいたら手元にお金が残らんようになりますよ。,「結局、うちの店には何が合うんやろ…」って、もう何回も考えましたよね？,情報が多すぎて、どれが正解か分からんくなる気持ち、めっちゃ分かります。,ほんまは美味しい料理作ることだけ考えたいのに、なんで集客まで…って思いますよね。,でも、その「分からん」から目を背けてたら、お店は誰にも見つけてもらえんまま終わります。,今日は、ネットで調べても出てこない、集客の本質的な話をします。,誰にでも来てもらおうとするお店と、「あなたに来てほしい」って伝えるお店、どっちが選ばれると思いますか？,集客って、闇雲にチラシを撒くんじゃなくて、たった一人にラブレターを書く作業なんです。,マーケティングは料理人の仕事ではないものの、経営者あなたの仕事ではあります。,まず決めるべきは３つだけ。「誰に」「どんな価値を」「どう届けるか」です。,一番来てほしいお客さんの顔を思い浮かべて、その人に向けてメニュー名考えてみてください。それだけでも全然ちゃいます。,「このお店、私のためにあるみたい」ってお客さんに思われたら、もう勝ちなんです。,知らない、分からないって方は僕のDMに「無料面談」って送ってくれたらzoomで相談乗りますよ。,ロードサイド型店舗の生き残り戦略;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き;集客の相談より「人」に関する問い合わせが一番多い;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道
